Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,168.27,81185,67647,0.833,1,1057.1,4.8648
2,496,185.3,71901,57190,0.795,0.993,912.42,4.1989
3,391,207.09,63552,50325,0.792,1,810.84,3.7314
4,309,233.68,56160,45401,0.808,1.01,727.02,3.3457
5,244,263.68,49217,41432,0.842,1.01,646.83,2.9767
6,193,297.36,42835,38029,0.888,1,575.17,2.6469
7,152,335.2,37240,34813,0.935,0.997,508.43,2.3398
8,120,375.59,32019,31757,0.992,0.997,449.79,2.0699
9,94.8,419.51,27373,28847,1.054,0.998,396.77,1.8259
10,74.8,467.35,23285,26099,1.121,1,350.09,1.6111
11,59.1,518.54,19680,23482,1.193,1,306.83,1.412
12,46.6,572.86,16522,21003,1.271,1,267.37,1.2304
13,36.8,629.53,13758,18661,1.356,1,231.85,1.067
14,29.1,688.26,11363,16473,1.45,1,200.07,0.92069
15,23,749.01,9313.8,14453,1.552,1,171.86,0.79087
16,18.1,811.22,7573.7,12601,1.664,0.999,146.95,0.67624
17,14.3,874.2,6106.9,10917,1.788,1,125.04,0.57544
18,11.3,936.36,4876.7,9386.6,1.925,1,105.77,0.48674
19,8.92,998.44,3863.3,8023.1,2.077,1,89.057,0.40983
20,7.04,1059.1,3032.8,6812.8,2.246,1,74.589,0.34325
21,5.56,1117.9,2361.3,5748.7,2.435,1,62.158,0.28605
22,4.39,1174.1,1821.4,4820.3,2.646,1,51.532,0.23715
23,3.47,1227.6,1392.4,4019.5,2.887,1,42.532,0.19573
24,2.74,1276.4,1054.3,3329,3.158,1,34.914,0.16067
25,2.16,1322,791.94,2743.3,3.464,1,28.55,0.13139
26,1.71,1361.4,589.76,2245.2,3.807,1,23.212,0.10682
27,1.35,1396.2,433.29,1829.1,4.221,1,18.796,0.086499
28,1.06,1426.1,317.81,1482.1,4.663,1,15.157,0.069752
29,0.839,1448.8,230.35,1193.7,5.182,1,12.157,0.055945
30,0.662,1470.6,166.06,959.97,5.781,1,9.7417,0.044831
31,0.523,1482.3,117.89,766.28,6.5,1,7.7577,0.0357
32,0.413,1491.4,82.75,610.26,7.375,1,6.1584,0.02834
33,0.326,1495.9,58.599,484.15,8.262,1,4.8768,0.022443
34,0.257,1494,41.426,382.31,9.229,1,3.8455,0.017697
35,0.203,1490,28.201,301.47,10.69,1,3.0279,0.013934
36,0.16,1486.9,19.324,237.76,12.304,1,2.3855,0.010978
37,0.127,1473.4,12.812,186.18,14.531,1,1.8662,0.0085884
38,0.1,1458.2,8.899,145.54,16.355,1,1.4582,0.0067104
