Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,127.81,61198,51936,0.849,1,802.94,3.6951
2,496,140.82,54025,44230,0.819,0.994,693.76,3.1927
3,391,157.1,47546,39001,0.82,1,615.05,2.8304
4,309,177.02,41929,35137,0.838,1.01,550.81,2.5348
5,244,199.37,36635,32003,0.874,1.01,489.95,2.2547
6,193,224.39,31810,29263,0.92,1,433.34,1.9942
7,152,252.19,27511,26723,0.971,0.997,382.55,1.7605
8,120,281.44,23527,24256,1.031,0.998,337.1,1.5513
9,94.8,313.06,19998,21926,1.096,0.997,296,1.3622
10,74.8,347.1,16899,19729,1.168,0.998,259.31,1.1933
11,59.1,383.49,14193,17663,1.245,1,226.75,1.0435
12,46.6,421.82,11837,15719,1.328,1,196.94,0.90633
13,36.8,461.67,9794.9,13898,1.419,1,170.06,0.78263
14,29.1,502.62,8035.3,12207,1.519,1,146.12,0.67242
15,23,544.09,6532.3,10646,1.63,1,124.85,0.57455
16,18.1,585.78,5262.1,9220.8,1.752,1,106.12,0.48837
17,14.3,627.07,4198,7929.9,1.889,1,89.701,0.4128
18,11.3,667.34,3315.1,6770.8,2.042,1,75.381,0.3469
19,8.92,705.82,2590.3,5737.4,2.215,1,62.954,0.28971
20,7.04,742.1,2002,4826.6,2.411,1,52.262,0.24051
21,5.56,776,1533.4,4032.2,2.63,1,43.144,0.19855
22,4.39,806.8,1160,3345.6,2.884,1,35.412,0.16296
23,3.47,834.45,869.55,2757.6,3.171,1,28.911,0.13305
24,2.74,860.72,647.42,2263.9,3.497,1,23.545,0.10835
25,2.16,883.95,478.4,1848.3,3.863,1,19.09,0.087853
26,1.71,902,348.45,1498.1,4.299,1,15.38,0.070776
27,1.35,917.41,251.43,1209.2,4.809,1,12.349,0.05683
28,1.06,929.47,181.48,971.08,5.351,1,9.8779,0.045458
29,0.839,936.15,126.99,775.22,6.105,1,7.8549,0.036148
30,0.662,938,89.692,614.91,6.856,1,6.2138,0.028596
31,0.523,938.27,61.199,486.92,7.956,1,4.9075,0.022584
32,0.413,935.52,43.663,383.84,8.791,1,3.8631,0.017778
33,0.326,933.96,28.842,303.12,10.51,1,3.0449,0.014012
34,0.257,928.99,19.531,238.31,12.202,1,2.3911,0.011004
35,0.203,920.4,13.637,186.54,13.678,1,1.8703,0.0086072
36,0.16,910.58,9.5772,145.77,15.221,1,1.4609,0.0067229
37,0.127,893.23,5.4752,113.01,20.64,1,1.1314,0.0052066
38,0.1,878.98,3.5963,87.824,24.421,1,0.87899,0.004045
