Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,144.04,68267,59351,0.869,1,904.95,4.1645
2,496,158.05,59607,50867,0.853,0.994,778.68,3.5834
3,391,175.67,52066,44917,0.863,1,687.92,3.1658
4,309,196.9,45542,40355,0.886,1.01,612.67,2.8195
5,244,220.71,39502,36597,0.926,1.01,542.02,2.4943
6,193,247.24,34042,33306,0.978,1,477.32,2.1966
7,152,276.72,29256,30252,1.034,0.997,419.74,1.9316
8,120,307.68,24858,27329,1.099,0.998,368.5,1.6958
9,94.8,340.84,20977,24573,1.171,0.997,322.27,1.4831
10,74.8,376.41,17599,21996,1.25,0.999,281.55,1.2957
11,59.1,413.85,14658,19572,1.335,1,244.7,1.1261
12,46.6,453.17,12124,17318,1.428,1,211.62,0.97385
13,36.8,493.64,9945.2,15219,1.53,1,181.83,0.83679
14,29.1,534.78,8084.4,13283,1.643,1,155.46,0.71543
15,23,576.39,6515.5,11516,1.768,1,132.26,0.60864
16,18.1,617.73,5201.9,9913.7,1.906,1,111.9,0.51496
17,14.3,658.17,4112.5,8472.1,2.06,1,94.145,0.43325
18,11.3,697.47,3220.4,7190.9,2.233,1,78.784,0.36256
19,8.92,736.05,2500.8,6069.6,2.427,1,65.65,0.30212
20,7.04,771.88,1922,5083.9,2.645,1,54.36,0.25016
21,5.56,805.08,1462.3,4229.9,2.893,1,44.762,0.20599
22,4.39,836.47,1103.3,3501.5,3.174,1,36.714,0.16896
23,3.47,865.07,825.56,2881.6,3.49,1,29.972,0.13793
24,2.74,889.81,610.22,2356.5,3.862,1,24.34,0.11201
25,2.16,910.9,446.47,1916.1,4.292,1,19.672,0.090531
26,1.71,927.71,323.46,1548.5,4.787,1,15.818,0.072793
27,1.35,941.02,232.61,1245.3,5.354,1,12.667,0.058294
28,1.06,950.22,165.25,996.34,6.029,1,10.099,0.046473
29,0.839,960.02,118.37,796.84,6.732,1,8.0554,0.03707
30,0.662,961.41,81.185,631.73,7.781,1,6.3691,0.02931
31,0.523,953.03,55.751,495.34,8.885,1,4.9847,0.022939
32,0.413,950.97,39.049,390.75,10.006,1,3.9269,0.018072
33,0.326,945.41,26.589,307.07,11.549,1,3.0822,0.014184
34,0.257,942.03,18.501,241.76,13.068,1,2.4247,0.011158
35,0.203,928.04,11.017,188.26,17.089,1,1.8859,0.0086787
36,0.16,924.41,7.7429,148.1,19.128,1,1.4831,0.006825
37,0.127,908.66,4.9065,114.99,23.436,1,1.1509,0.0052966
38,0.1,900.24,4.1525,89.928,21.656,1,0.90025,0.0041429
