Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,147.27,69663,60829,0.873,1,925.19,4.2577
2,496,159.27,60070,51255,0.853,0.994,784.73,3.6113
3,391,175.29,52214,44516,0.853,1,686.45,3.159
4,309,196.13,45707,39807,0.871,1.01,610.27,2.8084
5,244,219.93,39743,36053,0.907,1.01,540.08,2.4854
6,193,246.65,34353,32822,0.955,1,476.2,2.1915
7,152,276.45,29611,29847,1.008,0.997,419.33,1.9297
8,120,308.38,25293,27041,1.069,0.997,369.34,1.6997
9,94.8,342.97,21481,24404,1.136,0.997,324.28,1.4923
10,74.8,380.22,18137,21926,1.209,0.999,284.38,1.3087
11,59.1,419.97,15219,19599,1.288,1,248.32,1.1428
12,46.6,461.75,12679,17413,1.373,1,215.61,0.99223
13,36.8,505.27,10483,15375,1.467,1,186.11,0.85648
14,29.1,550.2,8599.8,13490,1.569,1,159.94,0.73604
15,23,596.2,6998.6,11762,1.681,1,136.8,0.62954
16,18.1,642.69,5647.7,10187,1.804,1,116.43,0.53579
17,14.3,689.6,4520.9,8770.6,1.94,1,98.642,0.45394
18,11.3,736.33,3588.7,7504.1,2.091,1,83.174,0.38276
19,8.92,782.53,2826.4,6381.3,2.258,1,69.797,0.3212
20,7.04,827.57,2206.2,5393.4,2.445,1,58.281,0.26821
21,5.56,871.45,1708.1,4533.4,2.654,1,48.451,0.22297
22,4.39,913.83,1313.1,3789.7,2.886,1,40.109,0.18458
23,3.47,954.3,1000.4,3151.8,3.151,1,33.063,0.15215
24,2.74,992.27,756.59,2607,3.446,1,27.142,0.1249
25,2.16,1027.3,567.08,2145,3.783,1,22.185,0.10209
26,1.71,1059.4,421.93,1756.5,4.163,1,18.064,0.083127
27,1.35,1089.4,311.13,1433.2,4.607,1,14.665,0.067489
28,1.06,1114.7,227.14,1162.8,5.119,1,11.847,0.054519
29,0.839,1137.9,165.57,940.4,5.68,1,9.5484,0.043941
30,0.662,1156.9,119.02,757.16,6.361,1,7.6644,0.035271
31,0.523,1171.8,85.475,606.91,7.1,1,6.129,0.028205
32,0.413,1183.7,60.359,485.06,8.036,1,4.8881,0.022495
33,0.326,1193.6,43.215,386.74,8.949,1,3.8915,0.017908
34,0.257,1199.2,29.809,307.22,10.306,1,3.0866,0.014205
35,0.203,1203.3,20.708,243.64,11.765,1,2.4452,0.011253
36,0.16,1199.5,14.634,191.89,13.112,1,1.9244,0.0088562
37,0.127,1197,8.7715,151.36,17.256,1,1.5162,0.0069774
38,0.1,1188.8,6.8041,118.69,17.444,1,1.1888,0.005471
