Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,135.97,64512,55945,0.867,1,854.14,3.9307
2,496,153.21,57961,49103,0.847,0.994,755.24,3.4756
3,391,173.76,51873,43994,0.848,1,680.68,3.1324
4,309,197.69,46213,39963,0.865,1.01,615.2,2.8311
5,244,223.96,40619,36553,0.9,1.01,549.91,2.5307
6,193,252.85,35361,33494,0.947,1,488.17,2.2465
7,152,284.9,30683,30593,0.997,0.997,432.16,1.9888
8,120,318.07,26254,27734,1.056,0.998,380.94,1.7531
9,94.8,353.83,22318,25038,1.122,0.997,334.57,1.5397
10,74.8,392.37,18860,22508,1.193,1,293.86,1.3523
11,59.1,433.32,15832,20121,1.271,1,256.25,1.1793
12,46.6,476.32,13191,17881,1.356,1,222.41,1.0235
13,36.8,520.93,10902,15787,1.448,1,191.88,0.88301
14,29.1,566.94,8937.9,13851,1.55,1,164.81,0.75845
15,23,613.94,7267.1,12075,1.662,1,140.87,0.64828
16,18.1,661.35,5856.5,10458,1.786,1,119.8,0.55133
17,14.3,708.58,4676.9,8995.6,1.923,1,101.36,0.46643
18,11.3,755.28,3702.1,7687.1,2.076,1,85.313,0.39261
19,8.92,801,2903.2,6527.3,2.248,1,71.445,0.32878
20,7.04,845.01,2256.8,5505.4,2.439,1,59.511,0.27387
21,5.56,887.53,1738.3,4617.6,2.656,1,49.347,0.22709
22,4.39,927.19,1325.8,3847.4,2.902,1,40.695,0.18728
23,3.47,963.9,1001.9,3186.2,3.18,1,33.395,0.15368
24,2.74,997.43,750.95,2623.3,3.493,1,27.283,0.12556
25,2.16,1026.6,555.97,2146.5,3.861,1,22.172,0.10203
26,1.71,1051.3,407.76,1745.7,4.281,1,17.926,0.082493
27,1.35,1071.5,296.11,1411.8,4.768,1,14.425,0.066382
28,1.06,1088.2,212.84,1136.9,5.341,1,11.566,0.053225
29,0.839,1102.2,153.83,912.01,5.928,1,9.2482,0.04256
30,0.662,1109.3,107.58,727,6.758,1,7.3487,0.033818
31,0.523,1110.5,76.547,575.78,7.522,1,5.8085,0.02673
32,0.413,1111.8,52.028,456.13,8.767,1,4.5908,0.021127
33,0.326,1107.3,35.412,359.25,10.145,1,3.6099,0.016613
34,0.257,1105.6,24.625,283.51,11.513,1,2.8458,0.013096
35,0.203,1098.8,16.018,222.71,13.904,1,2.2329,0.010276
36,0.16,1087.8,11.343,174.15,15.353,1,1.7452,0.0080312
37,0.127,1079,7.2892,136.48,18.724,1,1.3668,0.0062898
38,0.1,1067,5.0068,106.59,21.288,1,1.067,0.0049105
