Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,205.51,1.05E+05,74363,0.705,1,1291.2,5.9422
2,496,229.96,94047,64459,0.685,0.994,1132.8,5.2129
3,391,261.51,84374,57963,0.687,1,1024.5,4.7147
4,309,299.78,75786,53286,0.703,1.01,932.64,4.292
5,244,343.44,67592,49528,0.733,1,840.8,3.8693
6,193,393.11,60008,46187,0.77,0.998,755.83,3.4783
7,152,448.02,52885,42960,0.812,0.997,679.58,3.1274
8,120,508.95,46345,39830,0.859,0.998,609.59,2.8053
9,94.8,576.48,40408,36790,0.91,1,547.02,2.5174
10,74.8,650.71,35039,33822,0.965,1,488.07,2.2461
11,59.1,731.45,30201,30914,1.024,1,432.33,1.9895
12,46.6,818.13,25843,28083,1.087,1,381.59,1.7561
13,36.8,910.47,21949,25350,1.155,1,335.27,1.5429
14,29.1,1008.1,18501,22737,1.229,1,293.06,1.3486
15,23,1110.7,15478,20263,1.309,1,254.87,1.1729
16,18.1,1217.3,12843,17937,1.397,0.999,220.5,1.0147
17,14.3,1327.3,10573,15776,1.492,1,189.84,0.87364
18,11.3,1439.9,8634.8,13785,1.596,1,162.65,0.74849
19,8.92,1553.3,6989.3,11962,1.711,1,138.56,0.63763
20,7.04,1667.3,5610.2,10313,1.838,1,117.43,0.54041
21,5.56,1779.7,4463.5,8829.4,1.978,1,98.955,0.45539
22,4.39,1889.9,3520.1,7510.6,2.134,1,82.952,0.38174
23,3.47,1997.3,2753.7,6349.3,2.306,1,69.194,0.31842
24,2.74,2099.9,2137.5,5332.1,2.495,1,57.436,0.26432
25,2.16,2193,1637.5,4444.5,2.714,1,47.36,0.21795
26,1.71,2279.2,1245.4,3681.5,2.956,1,38.86,0.17883
27,1.35,2355.3,937.85,3029,3.23,1,31.706,0.14591
28,1.06,2420.3,699.26,2475.6,3.54,1,25.723,0.11838
29,0.839,2474.8,517.6,2011.1,3.885,1,20.766,0.095564
30,0.662,2518.6,379.06,1625,4.287,1,16.685,0.076786
31,0.523,2549,276.14,1304.3,4.723,1,13.332,0.061353
32,0.413,2571.3,199.53,1042.9,5.226,1,10.618,0.048862
33,0.326,2585.5,143.13,830.66,5.803,1,8.429,0.03879
34,0.257,2593.5,101.73,659.75,6.485,1,6.6755,0.03072
35,0.203,2586.6,71.825,520.69,7.249,1,5.2562,0.024189
36,0.16,2576,50.69,410.15,8.091,1,4.1327,0.019018
37,0.127,2559.3,34.993,322.27,9.209,1,3.2416,0.014918
38,0.1,2543.3,24.397,253.16,10.377,1,2.5433,0.011704
