Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,162.92,78084,66113,0.847,1,1023.5,4.71
2,496,177.91,68398,55698,0.814,0.993,876.07,4.0316
3,391,197.74,59997,48905,0.815,1,774.21,3.5629
4,309,222.11,52723,43953,0.834,1.01,691.04,3.1801
5,244,249.82,45991,40003,0.87,1.01,613.1,2.8215
6,193,280.94,39849,36615,0.919,1,542.91,2.4985
7,152,315.78,34502,33406,0.968,0.997,478.99,2.2043
8,120,352.97,29546,30384,1.028,0.997,422.72,1.9453
9,94.8,393.31,25155,27518,1.094,0.998,371.93,1.7116
10,74.8,437.09,21304,24823,1.165,1,327.4,1.5067
11,59.1,483.82,17930,22265,1.242,1,286.19,1.317
12,46.6,533.1,14979,19851,1.325,1,248.85,1.1452
13,36.8,584.31,12412,17579,1.416,1,215.21,0.99037
14,29.1,637.1,10199,15464,1.516,1,185.2,0.85228
15,23,691.14,8310.1,13515,1.626,1,158.58,0.72979
16,18.1,745.96,6713.9,11735,1.748,0.999,135.13,0.62184
17,14.3,801.29,5380,10125,1.882,1,114.61,0.52745
18,11.3,855.65,4269.9,8671.7,2.031,1,96.651,0.44478
19,8.92,909.19,3358.4,7380.6,2.198,1,81.094,0.37319
20,7.04,961.86,2620.8,6245.2,2.383,1,67.741,0.31174
21,5.56,1012.3,2027.2,5249.9,2.59,1,56.285,0.25902
22,4.39,1059.9,1551.5,4385.4,2.827,1,46.52,0.21408
23,3.47,1104.6,1177.5,3642,3.093,1,38.27,0.17612
24,2.74,1145.9,886.33,3006.8,3.392,1,31.343,0.14424
25,2.16,1183.1,662.34,2468,3.726,1,25.551,0.11759
26,1.71,1215.7,488.38,2014.6,4.125,1,20.729,0.095393
27,1.35,1245.7,358.08,1638.3,4.575,1,16.769,0.077169
28,1.06,1268.8,260.14,1323.3,5.087,1,13.485,0.062056
29,0.839,1291.2,187.38,1067.2,5.695,1,10.834,0.049858
30,0.662,1306.1,134.18,854.81,6.371,1,8.6524,0.039818
31,0.523,1317.4,95.961,682.34,7.111,1,6.8935,0.031723
32,0.413,1326.3,66.701,543.62,8.15,1,5.477,0.025205
33,0.326,1327.6,46.412,430.34,9.272,1,4.3283,0.019919
34,0.257,1325.6,33.637,339.53,10.094,1,3.4119,0.015701
35,0.203,1329,22.587,269.11,11.915,1,2.7006,0.012428
36,0.16,1325.3,15.952,212.02,13.291,1,2.1262,0.0097847
37,0.127,1313.9,10.381,166.1,16,1,1.6642,0.0076588
38,0.1,1303.7,7.3511,130.16,17.707,1,1.3037,0.0059997
