Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,153.66,73066,63039,0.863,1,965.29,4.4422
2,496,167.86,64010,53188,0.831,0.994,826.9,3.8053
3,391,186.7,56289,46611,0.828,1,731.12,3.3646
4,309,210.08,49615,41876,0.844,1.01,653.68,3.0082
5,244,236.6,43377,38092,0.878,1.01,580.83,2.6729
6,193,266.16,37621,34832,0.926,1,514.02,2.3655
7,152,299.34,32594,31781,0.975,0.997,454.04,2.0895
8,120,334.42,27902,28874,1.035,0.997,400.51,1.8431
9,94.8,372.23,23728,26115,1.101,0.998,351.97,1.6198
10,74.8,413.1,20070,23516,1.172,1,309.41,1.4239
11,59.1,456.51,16862,21053,1.249,1,269.99,1.2425
12,46.6,502.22,14064,18736,1.332,1,234.47,1.079
13,36.8,549.56,11633,16563,1.424,1,202.42,0.93151
14,29.1,598.17,9541,14542,1.524,1,173.88,0.80021
15,23,647.52,7756.1,12680,1.635,1,148.58,0.68374
16,18.1,697.14,6249.4,10981,1.757,0.999,126.28,0.58115
17,14.3,746.65,4991.6,9445.8,1.892,1,106.8,0.49148
18,11.3,795.55,3951,8072,2.043,1,89.862,0.41354
19,8.92,843.15,3098.8,6851.6,2.211,1,75.203,0.34608
20,7.04,889.39,2410,5780.2,2.398,1,62.637,0.28825
21,5.56,933.57,1857.9,4845.9,2.608,1,51.906,0.23887
22,4.39,975.66,1420.3,4039.8,2.844,1,42.823,0.19707
23,3.47,1015.8,1077.9,3350.7,3.109,1,35.193,0.16196
24,2.74,1051.7,809.71,2760.8,3.41,1,28.767,0.13239
25,2.16,1084.2,602.54,2262.8,3.755,1,23.415,0.10775
26,1.71,1111.2,444.62,1842,4.143,1,18.947,0.087194
27,1.35,1134.3,325.25,1492.1,4.587,1,15.27,0.070272
28,1.06,1152.6,235.25,1202.2,5.111,1,12.25,0.056374
29,0.839,1168,169.52,965.3,5.694,1,9.8004,0.045101
30,0.662,1178.6,121.12,771.33,6.368,1,7.8093,0.035938
31,0.523,1182,85.687,612.27,7.145,1,6.1801,0.028441
32,0.413,1187.1,59.708,486.53,8.149,1,4.9018,0.022558
33,0.326,1188.1,41.487,385.12,9.283,1,3.8728,0.017822
34,0.257,1184.9,28.457,303.66,10.671,0.999,3.0481,0.014027
35,0.203,1169.5,19.666,236.83,12.043,1,2.3765,0.010937
36,0.16,1168.5,14.288,186.93,13.082,1,1.8758,0.0086321
37,0.127,1149.5,9.3901,145.29,15.473,1,1.4559,0.0067
38,0.1,1136.8,6.2766,113.51,18.084,1,1.1368,0.0052315
