Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,148.11,68011,63450,0.933,1,930.41,4.2817
2,496,159,59224,52030,0.879,0.994,783.22,3.6043
3,391,173.88,51442,44566,0.866,1,680.8,3.133
4,309,193.57,44937,39485,0.879,1.01,602.31,2.7718
5,244,216.22,38965,35566,0.913,1.01,531.11,2.4442
6,193,241.86,33594,32281,0.961,1,466.97,2.149
7,152,270.22,28852,29265,1.014,0.997,409.88,1.8862
8,120,300.7,24554,26470,1.078,0.998,360.15,1.6574
9,94.8,333.56,20769,23843,1.148,0.997,315.39,1.4514
10,74.8,368.91,17467,21382,1.224,0.999,275.81,1.2693
11,59.1,406.4,14593,19070,1.307,1,240.31,1.1059
12,46.6,445.89,12109,16912,1.397,1,208.22,0.95822
13,36.8,486.76,9968.2,14900,1.495,1,179.3,0.82514
14,29.1,528.71,8137.8,13042,1.603,1,153.69,0.70729
15,23,571.19,6585.6,11338,1.722,1,131.06,0.60315
16,18.1,613.77,5282.4,9789.6,1.853,1,111.19,0.51167
17,14.3,656.02,4197.9,8395.8,2,1,93.838,0.43184
18,11.3,697.36,3305.8,7150.7,2.163,1,78.771,0.3625
19,8.92,737.75,2579.6,6053,2.347,1,65.802,0.30282
20,7.04,776.45,1996,5089.9,2.55,1,54.681,0.25164
21,5.56,813.58,1531.2,4255.7,2.779,1,45.233,0.20816
22,4.39,848.62,1163.3,3538.2,3.041,1,37.247,0.17141
23,3.47,881.18,876.59,2924.8,3.337,1,30.53,0.1405
24,2.74,910.66,654.05,2403.9,3.675,1,24.91,0.11463
25,2.16,936.45,483.56,1963.9,4.061,1,20.224,0.093069
26,1.71,959.03,354.25,1596.5,4.507,1,16.352,0.075252
27,1.35,977.4,257.11,1290.5,5.019,1,13.158,0.060551
28,1.06,993.07,185.5,1039.1,5.601,1,10.554,0.048571
29,0.839,1006.1,132.3,833.81,6.302,1,8.4418,0.038849
30,0.662,1014.5,94.131,665.48,7.07,1,6.7206,0.030928
31,0.523,1020.9,65.755,529.88,8.058,1,5.3393,0.024571
32,0.413,1023.1,45.669,420,9.197,1,4.2248,0.019442
33,0.326,1027.2,31.616,333.38,10.544,1,3.3487,0.015411
34,0.257,1027.9,21.949,263.66,12.013,1,2.6458,0.012176
35,0.203,1024.2,14.979,207.58,13.858,1,2.0813,0.0095778
36,0.16,1021.3,10.31,163.53,15.861,1,1.6386,0.0075405
37,0.127,1016.6,6.8619,128.58,18.739,1,1.2877,0.0059258
38,0.1,1012.8,4.9628,101.16,20.384,1,1.0128,0.004661
