Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,162.45,76403,67603,0.885,1,1020.7,4.6971
2,496,177.8,67831,56307,0.83,0.994,876.32,4.0328
3,391,198.27,60128,49070,0.816,1,776.59,3.5738
4,309,223.63,53293,44003,0.826,1.01,695.84,3.2022
5,244,252.4,46789,40039,0.856,1.01,619.31,2.85
6,193,284.58,40749,36670,0.9,1,550.18,2.5319
7,152,320.66,35435,33505,0.946,0.997,486.39,2.2383
8,120,359.25,30473,30528,1.002,0.997,430.24,1.9799
9,94.8,401.22,26055,27706,1.063,0.998,379.42,1.7461
10,74.8,446.84,22158,25047,1.13,1,334.7,1.5403
11,59.1,495.77,18727,22524,1.203,1,293.27,1.3496
12,46.6,547.52,15716,20134,1.281,1,255.57,1.1761
13,36.8,601.58,13083,17880,1.367,1,221.56,1.0196
14,29.1,657.51,10802,15774,1.46,1,191.13,0.87958
15,23,714.94,8845,13825,1.563,1,164.04,0.75493
16,18.1,773.56,7183.7,12039,1.676,0.999,140.13,0.64485
17,14.3,832.85,5786.3,10418,1.8,1,119.13,0.54823
18,11.3,891.59,4618.2,8950.9,1.938,1,100.71,0.46346
19,8.92,949.83,3653.7,7642.8,2.092,1,84.719,0.38987
20,7.04,1006.9,2865.6,6485.1,2.263,1,70.916,0.32635
21,5.56,1062,2228.1,5467.3,2.454,1,59.049,0.27174
22,4.39,1114.3,1715.5,4580,2.67,1,48.91,0.22508
23,3.47,1164.3,1311.7,3815.2,2.909,1,40.338,0.18563
24,2.74,1209.8,992.12,3157.4,3.182,1,33.092,0.15229
25,2.16,1249.6,743.22,2594.6,3.491,1,26.988,0.1242
26,1.71,1285.4,551.46,2121.3,3.847,1,21.917,0.10086
27,1.35,1315.4,405.68,1723.8,4.249,1,17.708,0.081492
28,1.06,1340,295.46,1393.2,4.715,1,14.241,0.065536
29,0.839,1360.3,213.37,1121.4,5.255,1,11.414,0.052527
30,0.662,1375.2,153.58,898,5.847,1,9.1099,0.041923
31,0.523,1381.9,110.39,714.32,6.471,1,7.2279,0.033262
32,0.413,1384,75.428,566.52,7.511,1,5.7151,0.026301
33,0.326,1385.5,53.336,448.54,8.41,1,4.517,0.020787
34,0.257,1380.4,37.492,353.32,9.424,1,3.553,0.016351
35,0.203,1371.4,25.328,277.52,10.957,1,2.7867,0.012824
36,0.16,1360.6,17.596,217.57,12.365,1,2.1828,0.010045
37,0.127,1348.4,12.238,170.36,13.921,1,1.708,0.00786
38,0.1,1336.4,7.8284,133.41,17.041,1,1.3364,0.0061499
