Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,131.48,61777,54788,0.887,1,825.99,3.8012
2,496,141.2,53713,44900,0.836,0.994,695.75,3.2018
3,391,155.6,47030,38706,0.823,1,609.28,2.8039
4,309,174.12,41359,34425,0.832,1.01,541.78,2.4933
5,244,195.34,36092,31127,0.862,1.01,480.05,2.2092
6,193,219.3,31317,28351,0.905,1,423.53,1.9491
7,152,245.79,27038,25810,0.955,0.997,372.85,1.7158
8,120,274.32,23146,23434,1.012,0.998,328.59,1.5121
9,94.8,305.4,19710,21204,1.076,0.997,288.76,1.3289
10,74.8,339.08,16698,19109,1.144,0.998,253.28,1.1656
11,59.1,375.25,14065,17140,1.219,1,221.86,1.021
12,46.6,413.59,11769,15288,1.299,1,193.08,0.88856
13,36.8,453.62,9773.9,13549,1.386,1,167.1,0.76898
14,29.1,495.09,8053.6,11932,1.482,1,143.93,0.66235
15,23,537.67,6582.3,10441,1.586,1,123.38,0.56778
16,18.1,580.99,5336.6,9077.1,1.701,1,105.25,0.48437
17,14.3,624.49,4290.4,7838.2,1.827,1,89.331,0.4111
18,11.3,667.87,3419.5,6725.3,1.967,1,75.442,0.34718
19,8.92,710.79,2703.4,5734,2.121,1,63.398,0.29175
20,7.04,752.54,2118.8,4856.9,2.292,1,52.996,0.24389
21,5.56,793.13,1647.5,4089.7,2.482,1,44.096,0.20293
22,4.39,831.83,1268.8,3423.3,2.698,1,36.51,0.16802
23,3.47,868.94,970.44,2850.3,2.937,1,30.106,0.13854
24,2.74,903.79,736.5,2360.2,3.205,1,24.722,0.11377
25,2.16,934.92,552.8,1942.1,3.513,1,20.191,0.092917
26,1.71,962.81,412.85,1589,3.849,1,16.416,0.075548
27,1.35,987.91,305.41,1294.4,4.238,1,13.299,0.061202
28,1.06,1008.8,223.44,1048.7,4.693,1,10.722,0.049341
29,0.839,1025.7,162.79,845.17,5.192,1,8.6069,0.039608
30,0.662,1037.7,117.17,677.43,5.781,1,6.8748,0.031638
31,0.523,1048.8,83.343,542.21,6.506,1,5.4858,0.025245
32,0.413,1052.4,59.788,430.46,7.2,1,4.3459,0.02
33,0.326,1058.5,42.13,342.5,8.129,1,3.4508,0.01588
34,0.257,1060.3,29.332,271.33,9.25,1,2.7291,0.012559
35,0.203,1058.3,20.672,214.06,10.355,1,2.1506,0.009897
36,0.16,1058.2,14.121,169.18,11.98,1,1.6976,0.0078123
37,0.127,1053.6,9.8486,133.09,13.514,1,1.3345,0.0061414
38,0.1,1047.9,6.7513,104.58,15.49,1,1.0479,0.0048225
