Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,154.78,77723,58368,0.751,1,972.4,4.4749
2,496,170.93,67553,51174,0.758,0.993,841.91,3.8744
3,391,191.34,59123,45980,0.778,1,749.25,3.448
4,309,215.88,51906,41913,0.807,1.01,671.69,3.0911
5,244,243.49,45307,38429,0.848,1.01,597.6,2.7501
6,193,274.28,39291,35324,0.899,1,530.1,2.4395
7,152,309.38,34156,32359,0.947,0.997,469.28,2.1596
8,120,346.11,29312,29458,1.005,0.997,414.5,1.9075
9,94.8,386.08,25020,26710,1.068,0.998,365.08,1.6801
10,74.8,429.57,21249,24125,1.135,1,321.75,1.4807
11,59.1,476.22,17942,21675,1.208,1,281.66,1.2962
12,46.6,525.56,15043,19359,1.287,1,245.34,1.129
13,36.8,577.3,12520,17184,1.372,1,212.62,0.97847
14,29.1,631.06,10341,15158,1.466,1,183.45,0.84421
15,23,686.47,8473.6,13287,1.568,1,157.51,0.72487
16,18.1,743.09,6886.8,11574,1.681,1,134.61,0.61946
17,14.3,800.17,5550,10014,1.804,1,114.46,0.52672
18,11.3,857.42,4434.4,8611.3,1.942,1,96.85,0.4457
19,8.92,914.02,3513.3,7356,2.094,1,81.526,0.37518
20,7.04,969.43,2757.6,6244.3,2.264,1,68.274,0.3142
21,5.56,1023.1,2147.2,5266.7,2.453,1,56.884,0.26178
22,4.39,1074.4,1656.5,4414.8,2.665,1,47.155,0.21701
23,3.47,1123.1,1267.3,3679.4,2.903,1,38.91,0.17906
24,2.74,1168.2,960.08,3048.2,3.175,1,31.954,0.14705
25,2.16,1209.7,722.36,2510.9,3.476,1,26.125,0.12023
26,1.71,1245.5,537.69,2054.5,3.821,1,21.236,0.097726
27,1.35,1277.4,396.16,1673.5,4.224,1,17.196,0.079136
28,1.06,1304,289.01,1355.5,4.69,1,13.859,0.063778
29,0.839,1326.2,209.89,1092.9,5.207,1,11.128,0.051212
30,0.662,1341,151.11,875.48,5.794,1,8.8841,0.040884
31,0.523,1350.8,107.26,698.35,6.511,1,7.0653,0.032514
32,0.413,1354.1,76.452,553.9,7.245,1,5.5915,0.025732
33,0.326,1354.6,52.359,438.52,8.375,1,4.4163,0.020324
34,0.257,1353.1,37.295,346.26,9.284,1,3.4827,0.016027
35,0.203,1344.8,25.581,272.07,10.636,1,2.7327,0.012576
36,0.16,1335.6,17.266,213.57,12.369,1,2.1427,0.0098606
37,0.127,1324.7,12.383,167.34,13.513,1,1.6779,0.0077218
38,0.1,1307.4,9.3186,130.41,13.994,1,1.3074,0.0060166
