Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,159.69,79290,61405,0.774,1,1003.2,4.6166
2,496,178.33,70545,53304,0.756,0.993,877.95,4.0403
3,391,201.36,62720,47735,0.761,1,788.24,3.6274
4,309,228.85,55757,43510,0.78,1.01,712.11,3.2771
5,244,259.83,49159,40030,0.814,1.01,637.48,2.9336
6,193,294.3,43005,36938,0.859,1,569.49,2.6208
7,152,333.31,37613,33982,0.903,0.997,505.59,2.3267
8,120,374.65,32503,31098,0.957,0.997,448.68,2.0648
9,94.8,419.84,27935,28347,1.015,0.998,397.06,1.8272
10,74.8,469.04,23882,25726,1.077,1,351.35,1.6169
11,59.1,522.03,20294,23228,1.145,1,308.9,1.4215
12,46.6,578.32,17131,20840,1.216,1,269.91,1.2421
13,36.8,637.62,14355,18584,1.295,1,234.83,1.0807
14,29.1,699.38,11934,16466,1.38,1,203.31,0.9356
15,23,763.21,9843.1,14494,1.472,1,175.12,0.80591
16,18.1,828.7,8054.8,12676,1.574,1,150.12,0.69083
17,14.3,895.24,6539.9,11014,1.684,1,128.05,0.58929
18,11.3,962.58,5268.4,9512.5,1.806,1,108.73,0.50037
19,8.92,1029.8,4209.3,8163.5,1.939,1,91.856,0.42272
20,7.04,1097.1,3339.5,6966.1,2.086,1,77.27,0.35559
21,5.56,1163.5,2628.3,5909.8,2.249,1,64.692,0.29771
22,4.39,1228.7,2052,4987.3,2.43,1,53.933,0.2482
23,3.47,1291.5,1589.3,4183.5,2.632,1,44.746,0.20592
24,2.74,1351.2,1222.5,3488.5,2.854,1,36.961,0.17009
25,2.16,1406.4,930.52,2891.5,3.107,1,30.372,0.13977
26,1.71,1457,702.27,2383.2,3.394,1,24.842,0.11432
27,1.35,1502.3,525.93,1952.9,3.713,1,20.222,0.093061
28,1.06,1544.5,390.79,1594.4,4.08,1,16.415,0.075539
29,0.839,1579.2,286.48,1293.8,4.516,1,13.251,0.060979
30,0.662,1609.3,210.42,1045.2,4.967,1,10.661,0.049063
31,0.523,1634.4,152.02,841.21,5.533,1,8.5483,0.039339
32,0.413,1656.3,110.99,674.9,6.081,1,6.8397,0.031476
33,0.326,1666.4,78.147,537.61,6.879,1,5.4326,0.025001
34,0.257,1678.9,55.623,428.53,7.704,1,4.3212,0.019886
35,0.203,1684.7,37.819,340.25,8.997,1,3.4235,0.015755
36,0.16,1688.5,27.155,269.54,9.926,1,2.709,0.012467
37,0.127,1680.1,18.21,212.03,11.644,1,2.1281,0.0097934
38,0.1,1686.3,13.496,168.09,12.454,1,1.6863,0.0077603
