Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,140.72,70393,53425,0.759,1,883.96,4.068
2,496,157.67,61381,48410,0.789,0.993,776.59,3.5738
3,391,177.53,53705,44099,0.821,1,695.09,3.1988
4,309,200.76,47105,40380,0.857,1.01,624.69,2.8748
5,244,226.26,40950,37023,0.904,1.01,555.58,2.5567
6,193,254.43,35363,33933,0.96,1,491.2,2.2605
7,152,286.06,30519,31004,1.016,0.997,433.92,1.9969
8,120,318.15,25943,28038,1.081,0.997,381.03,1.7535
9,94.8,352.7,21918,25247,1.152,0.997,333.49,1.5347
10,74.8,389.9,18414,22637,1.229,1,292.02,1.3439
11,59.1,429.22,15366,20176,1.313,1,253.84,1.1681
12,46.6,470.33,12725,17873,1.404,1,219.61,1.0106
13,36.8,512.48,10448,15719,1.505,1,188.77,0.86871
14,29.1,555.47,8503.3,13731,1.615,1,161.47,0.74308
15,23,598.85,6859.1,11914,1.737,1,137.41,0.63234
16,18.1,642.06,5482.3,10264,1.872,1,116.31,0.53525
17,14.3,684.69,4342.2,8782.1,2.023,1,97.937,0.4507
18,11.3,726.2,3405.6,7463.3,2.192,1,82.03,0.3775
19,8.92,765.8,2645.9,6296.6,2.38,1,68.305,0.31434
20,7.04,803.28,2036.6,5276.8,2.591,1,56.573,0.26034
21,5.56,838.81,1552.6,4397,2.832,1,46.638,0.21462
22,4.39,871.61,1173.2,3641.1,3.104,1,38.256,0.17605
23,3.47,902,878.89,2999.4,3.413,1,31.251,0.14382
24,2.74,928.33,650.97,2454.8,3.771,1,25.393,0.11686
25,2.16,950.72,478.05,1997,4.177,1,20.532,0.094488
26,1.71,968.59,346.8,1614.8,4.656,1,16.515,0.076001
27,1.35,982.7,250.54,1299,5.185,1,13.228,0.060876
28,1.06,992.3,177.23,1039.7,5.866,1,10.546,0.048531
29,0.839,999.39,125.33,829.2,6.616,1,8.3857,0.03859
30,0.662,1002.2,88.24,658.03,7.457,1,6.6389,0.030552
31,0.523,994.25,60.339,516.52,8.56,1,5.2002,0.023931
32,0.413,991.26,42.182,407.15,9.652,1,4.0932,0.018837
33,0.326,981.95,27.638,318.94,11.54,1,3.2013,0.014732
34,0.257,980.43,19.068,251.63,13.196,1,2.5235,0.011613
35,0.203,966.26,13.366,195.9,14.656,1,1.9635,0.0090361
36,0.16,953.89,8.6354,152.79,17.694,1,1.5304,0.0070427
37,0.127,947.05,5.5762,119.83,21.489,1,1.1996,0.0055203
38,0.1,939.65,3.5744,93.897,26.269,1,0.93966,0.0043242
