Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,155.57,75501,62000,0.821,1,977.38,4.4978
2,496,168.12,65626,51390,0.783,0.994,828.13,3.811
3,391,186.57,57756,44696,0.774,1,730.57,3.3621
4,309,210.11,51100,40066,0.784,1.01,653.74,3.0085
5,244,237.29,44933,36508,0.812,1.01,582.46,2.6805
6,193,268.06,39268,33531,0.854,1,518.2,2.3847
7,152,303.02,34312,30763,0.897,0.997,459.64,2.1153
8,120,340.47,29645,28147,0.949,0.997,407.77,1.8765
9,94.8,381.39,25472,25657,1.007,0.998,360.65,1.6597
10,74.8,426.11,21779,23294,1.07,1,319.15,1.4687
11,59.1,474.16,18508,21032,1.136,1,280.45,1.2906
12,46.6,525.33,15622,18881,1.209,1,245.23,1.1286
13,36.8,579.16,13086,16844,1.287,1,213.31,0.98165
14,29.1,635.23,10875,14930,1.373,1,184.66,0.8498
15,23,693.1,8962.8,13146,1.467,1,159.04,0.73191
16,18.1,752.41,7327,11501,1.57,1,136.3,0.62727
17,14.3,812.6,5942.1,9994.2,1.682,1,116.24,0.53492
18,11.3,873.08,4777,8628.8,1.806,1,98.621,0.45385
19,8.92,933.38,3808.9,7402.1,1.943,1,83.254,0.38313
20,7.04,992.76,3008.8,6309.7,2.097,1,69.918,0.32176
21,5.56,1051,2360.4,5344.4,2.264,1,58.434,0.26891
22,4.39,1106.2,1832.7,4495.8,2.453,1,48.553,0.22344
23,3.47,1159.8,1411.7,3762.8,2.665,1,40.183,0.18492
24,2.74,1210.1,1078.8,3129.8,2.901,1,33.1,0.15233
25,2.16,1256.1,817.76,2586.8,3.163,1,27.126,0.12483
26,1.71,1297.2,612.87,2125.3,3.468,1,22.117,0.10178
27,1.35,1333.2,455.26,1736.1,3.813,1,17.946,0.082587
28,1.06,1365.2,336.9,1411.3,4.189,1,14.509,0.066768
29,0.839,1392.1,245.99,1142,4.642,1,11.681,0.053756
30,0.662,1431.8,183.68,930.59,5.066,1,9.4847,0.043648
31,0.523,1426.1,130.01,734.46,5.649,1,7.4591,0.034326
32,0.413,1438.5,91.594,586.93,6.408,1,5.9403,0.027337
33,0.326,1440.3,64.354,465.14,7.228,1,4.6957,0.021609
34,0.257,1442.6,46.568,368.37,7.91,1,3.713,0.017087
35,0.203,1430.8,32.762,288.89,8.818,1,2.9074,0.01338
36,0.16,1424.5,22.26,227.46,10.218,1,2.2855,0.010518
37,0.127,1419.8,15.422,179.18,11.618,1,1.7984,0.0082762
38,0.1,1411,10.521,140.71,13.374,1,1.411,0.0064935
