Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,146.38,70382,59131,0.84,1,919.51,4.2316
2,496,162.52,62112,51333,0.826,0.993,800.46,3.6837
3,391,182.22,54666,45820,0.838,1,713.47,3.2833
4,309,205.59,48093,41517,0.863,1.01,639.62,2.9435
5,244,231.43,41906,37847,0.903,1.01,568.22,2.6149
6,193,259.99,36221,34587,0.955,1,501.96,2.31
7,152,292.04,31294,31515,1.007,0.997,442.97,2.0385
8,120,325.22,26669,28523,1.07,0.997,389.5,1.7925
9,94.8,360.95,22585,25702,1.138,0.997,341.29,1.5706
10,74.8,399.66,19031,23075,1.213,1,299.32,1.3775
11,59.1,440.66,15928,20596,1.293,1,260.59,1.1992
12,46.6,483.83,13238,18280,1.381,1,225.9,1.0396
13,36.8,528.47,10912,16116,1.477,1,194.65,0.89578
14,29.1,574.36,8921.1,14118,1.583,1,166.97,0.76837
15,23,620.75,7227.8,12281,1.699,1,142.43,0.65547
16,18.1,667.34,5802.6,10612,1.829,0.999,120.89,0.55631
17,14.3,714.16,4620.4,9114.4,1.973,1,102.15,0.4701
18,11.3,759.92,3643.7,7772.9,2.133,1,85.838,0.39502
19,8.92,804.55,2847.2,6586.5,2.313,1,71.76,0.33023
20,7.04,847.34,2203.6,5544.6,2.516,1,59.675,0.27462
21,5.56,888.01,1690,4638.3,2.745,1,49.373,0.22721
22,4.39,925.23,1282.4,3853,3.005,1,40.61,0.18688
23,3.47,960.13,964.61,3184,3.301,1,33.264,0.15308
24,2.74,990.6,717.38,2613.3,3.643,1,27.097,0.1247
25,2.16,1017,528.38,2132.1,4.035,1,21.964,0.10108
26,1.71,1037.9,385.01,1727.4,4.487,1,17.697,0.081441
27,1.35,1054.9,277.06,1392.9,5.027,1,14.201,0.065351
28,1.06,1066.1,197.48,1115.8,5.65,1,11.33,0.052142
29,0.839,1075.3,139.65,891.41,6.383,1,9.0222,0.041519
30,0.662,1078.4,98.072,707.7,7.216,1,7.1442,0.032877
31,0.523,1075.9,67.773,558.63,8.243,1,5.6272,0.025896
32,0.413,1075.7,47.145,441.67,9.368,1,4.4418,0.020441
33,0.326,1068.2,32.105,346.76,10.801,1,3.4825,0.016026
34,0.257,1061,21.737,272.22,12.523,1,2.7309,0.012567
35,0.203,1047.5,15.013,212.33,14.143,1,2.1286,0.0097959
36,0.16,1036.4,9.7041,165.99,17.106,1,1.6628,0.0076521
37,0.127,1023.1,6.0822,129.45,21.283,1,1.2959,0.0059638
38,0.1,1005,4.4974,100.4,22.324,1,1.005,0.0046252
