Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,127.56,59219,53945,0.911,1,801.25,3.6873
2,496,140.87,51799,46852,0.905,0.994,694.18,3.1946
3,391,156.85,45160,41595,0.921,1,614.22,2.8266
4,309,175.69,39373,37387,0.95,1.01,546.69,2.5158
5,244,196.46,33973,33815,0.995,1.01,482.85,2.222
6,193,219.03,29057,30592,1.053,1,422.95,1.9464
7,152,243.93,24746,27638,1.117,0.997,370.03,1.7029
8,120,269.17,20791,24743,1.19,0.998,322.39,1.4836
9,94.8,295.89,17338,22048,1.272,0.997,279.76,1.2875
10,74.8,324.23,14366,19556,1.361,0.998,242.17,1.1144
11,59.1,353.84,11816,17248,1.46,1,209.2,0.96274
12,46.6,384.34,9642.6,15115,1.568,1,179.37,0.82547
13,36.8,415.51,7803.9,13163,1.687,1,153.08,0.70445
14,29.1,446.61,6255.7,11380,1.819,1,129.84,0.5975
15,23,477.15,4964,9763.9,1.967,1,109.49,0.50385
16,18.1,507.06,3900.3,8320.9,2.133,1,91.855,0.42271
17,14.3,535.8,3034.1,7040.7,2.32,1,76.643,0.35271
18,11.3,563.03,2336.5,5915.7,2.532,1,63.598,0.29268
19,8.92,588.41,1780,4936.8,2.773,1,52.482,0.24152
20,7.04,611.46,1341.7,4091.1,3.049,1,43.061,0.19817
21,5.56,632.28,1001.5,3369.2,3.364,1,35.154,0.16178
22,4.39,650.58,739.66,2757.9,3.729,1,28.555,0.13141
23,3.47,666.6,541.2,2245.5,4.149,1,23.096,0.10629
24,2.74,679.72,391.26,1817.9,4.646,1,18.593,0.085566
25,2.16,689.46,280.25,1462.5,5.219,1,14.89,0.068523
26,1.71,695.96,197.89,1170.1,5.913,1,11.867,0.05461
27,1.35,699.22,138.33,931.1,6.731,1,9.4124,0.043315
28,1.06,699.35,96.167,737.07,7.664,1,7.4326,0.034204
29,0.839,696.21,64.747,580.61,8.967,1,5.8418,0.026884
30,0.662,691.16,44.398,455.73,10.264,1,4.5787,0.021071
31,0.523,682,29.419,355.5,12.084,1,3.5671,0.016416
32,0.413,672.48,19.626,277,14.114,1,2.7769,0.012779
33,0.326,663.27,13.014,215.85,16.586,1,2.1624,0.0099512
34,0.257,653.34,8.702,167.94,19.299,1,1.6816,0.0077388
35,0.203,644.76,5.698,130.9,22.972,1,1.3102,0.0060295
36,0.16,633.59,3.5074,101.59,28.964,1,1.0165,0.0046779
37,0.127,622.92,2.4,78.864,32.859,1,0.78901,0.003631
38,0.1,611.47,1.4476,61.13,42.228,1,0.61148,0.002814
