Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,160.57,82376,58159,0.706,1,1008.7,4.6422
2,496,182.36,73402,52793,0.719,0.993,897.87,4.132
3,391,208.14,65441,48534,0.742,1,814.91,3.7502
4,309,238.34,58373,44921,0.77,1.01,741.54,3.4125
5,244,272.01,51649,41676,0.807,1.01,667.09,3.0699
6,193,309.33,45344,38659,0.853,1,598.83,2.7558
7,152,352.2,39885,35752,0.896,0.997,534.21,2.4584
8,120,397.21,34608,32815,0.948,0.997,475.69,2.1891
9,94.8,446.5,29860,29997,1.005,0.998,422.35,1.9436
10,74.8,500.19,25615,27298,1.066,1,374.73,1.7245
11,59.1,558.39,21850,24721,1.131,1,330.46,1.5208
12,46.6,620.33,18507,22246,1.202,1,289.47,1.3321
13,36.8,685.92,15561,19900,1.279,1,252.61,1.1625
14,29.1,754.73,12985,17691,1.362,1,219.38,1.0096
15,23,825.95,10746,15621,1.454,1,189.51,0.87212
16,18.1,899.73,8826.7,13711,1.553,0.999,162.98,0.75003
17,14.3,974.8,7189.8,11952,1.662,1,139.43,0.64166
18,11.3,1051.2,5811.9,10356,1.782,1,118.74,0.54644
19,8.92,1128.2,4659.5,8918,1.914,1,100.63,0.4631
20,7.04,1205.2,3706.2,7634.1,2.06,1,84.881,0.39062
21,5.56,1280.8,2922.6,6492.7,2.222,1,71.215,0.32773
22,4.39,1355.1,2287.1,5490.1,2.4,1,59.478,0.27371
23,3.47,1427.5,1774.6,4617,2.602,1,49.456,0.22759
24,2.74,1495.9,1365.9,3857.6,2.824,1,40.917,0.1883
25,2.16,1560.4,1042.2,3204.9,3.075,1,33.698,0.15508
26,1.71,1620.3,787,2648.4,3.365,1,27.627,0.12714
27,1.35,1675.1,591.96,2176,3.676,1,22.549,0.10377
28,1.06,1724.7,440.28,1779.5,4.042,1,18.33,0.084354
29,0.839,1767.2,324.42,1447,4.46,1,14.828,0.068238
30,0.662,1806.5,238.53,1172.8,4.917,1,11.967,0.055073
31,0.523,1834.6,172.12,943.99,5.484,1,9.5953,0.044157
32,0.413,1859.9,124.83,757.82,6.071,1,7.6803,0.035344
33,0.326,1880.1,89.422,606.4,6.781,1,6.1295,0.028208
34,0.257,1895.9,63.449,483.84,7.626,1,4.8799,0.022457
35,0.203,1909.7,44.699,385.49,8.624,1,3.8807,0.017859
36,0.16,1908.9,31.516,304.62,9.666,1,3.0625,0.014093
37,0.127,1914.4,21.718,241.51,11.12,1,2.4248,0.011159
38,0.1,1899.2,15.29,189.31,12.381,1,1.8993,0.0087403
