Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,135.04,61181,58730,0.96,1,848.29,3.9038
2,496,146.32,53167,49359,0.928,0.994,720.86,3.3174
3,391,160.8,46028,42935,0.933,1,629.6,2.8974
4,309,178.59,39903,38130,0.956,1.01,555.73,2.5574
5,244,198.48,34255,34231,0.999,1.01,487.82,2.2449
6,193,220.48,29201,30838,1.056,1,425.74,1.9592
7,152,244.61,24769,27756,1.121,0.997,371.07,1.7076
8,120,269.76,20781,24844,1.196,0.998,323.11,1.4869
9,94.8,296.36,17304,22131,1.279,0.997,280.21,1.2895
10,74.8,324.38,14309,19612,1.371,0.998,242.28,1.115
11,59.1,353.8,11752,17288,1.471,1,209.18,0.96262
12,46.6,384.11,9577.6,15144,1.581,1,179.26,0.82496
13,36.8,414.96,7738.3,13178,1.703,1,152.87,0.70352
14,29.1,445.74,6191.7,11386,1.839,1,129.58,0.59634
15,23,476.14,4907.1,9766.8,1.99,1,109.26,0.50279
16,18.1,505.67,3848.6,8317.4,2.161,1,91.605,0.42156
17,14.3,534.2,2988.7,7035.2,2.354,1,76.414,0.35165
18,11.3,560.97,2296,5906.6,2.573,1,63.366,0.29161
19,8.92,585.9,1745.4,4925.4,2.822,1,52.258,0.24049
20,7.04,608.6,1313.1,4079.2,3.107,1,42.86,0.19724
21,5.56,629,977.03,3357.4,3.436,1,34.971,0.16093
22,4.39,646.89,720.1,2746.3,3.814,1,28.393,0.13066
23,3.47,661.99,523.36,2233.3,4.267,1,22.936,0.10555
24,2.74,674.03,377.81,1804.8,4.777,1,18.438,0.08485
25,2.16,683.02,268.79,1450.5,5.396,1,14.751,0.067884
26,1.71,688.01,189.18,1157.8,6.12,1,11.731,0.053986
27,1.35,691.3,131.88,921.26,6.986,1,9.3058,0.042825
28,1.06,690.89,90.88,728.67,8.018,1,7.3426,0.03379
29,0.839,687.43,61.826,573.52,9.276,1,5.7681,0.026545
30,0.662,682.82,41.419,450.46,10.876,1,4.5234,0.020817
31,0.523,671.96,27.33,350.4,12.821,1,3.5146,0.016174
32,0.413,662.37,17.772,272.94,15.358,1,2.7352,0.012587
33,0.326,652.37,12.086,212.34,17.569,1,2.1268,0.0097875
34,0.257,641.92,7.5369,165.05,21.899,1,1.6522,0.0076035
35,0.203,630.11,5.223,127.94,24.495,1,1.2804,0.0058925
36,0.16,619.48,3.0074,99.339,33.032,1,0.99386,0.0045737
37,0.127,608.48,2.1431,77.042,35.949,1,0.77072,0.0035468
38,0.1,601.59,1.0089,60.15,59.617,1,0.60159,0.0027685
