Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,126.48,55477,56842,1.025,1,794.55,3.6565
2,496,132.61,47196,45776,0.97,0.994,653.53,3.0075
3,391,142.98,40432,38698,0.957,1,559.83,2.5763
4,309,157.09,34863,33787,0.969,1.01,488.82,2.2495
5,244,173.58,29839,30053,1.007,1.01,426.87,1.9644
6,193,191.97,25362,26910,1.061,1,370.63,1.7056
7,152,212.31,21458,24127,1.124,0.997,322.07,1.4822
8,120,233.97,17995,21572,1.199,0.998,280.27,1.2898
9,94.8,256.89,14983,19196,1.281,0.998,242.91,1.1178
10,74.8,281.08,12392,16998,1.372,0.998,209.85,0.96574
11,59.1,306.72,10191,14986,1.471,1,181.32,0.83443
12,46.6,333.24,8318,13132,1.579,1,155.5,0.71561
13,36.8,360.28,6733.7,11433,1.698,1,132.74,0.61086
14,29.1,387.31,5400.5,9882.3,1.83,1,112.6,0.51819
15,23,414.08,4289.9,8482.5,1.977,1,95.02,0.43728
16,18.1,440.51,3377.3,7234.1,2.142,1,79.803,0.36725
17,14.3,466.32,2634.7,6130.3,2.327,1,66.707,0.30698
18,11.3,491.05,2035.6,5160.3,2.535,1,55.469,0.25527
19,8.92,514.73,1557.4,4318.5,2.773,1,45.909,0.21127
20,7.04,536.77,1181.1,3590.3,3.04,1,37.8,0.17395
21,5.56,557.56,888.05,2969.6,3.344,1,30.999,0.14265
22,4.39,576.22,660.29,2441.3,3.697,1,25.291,0.11639
23,3.47,592.57,486.41,1994.9,4.101,1,20.531,0.094483
24,2.74,607.77,355.21,1624.3,4.573,1,16.625,0.076509
25,2.16,620.01,256.15,1314.4,5.131,1,13.39,0.061622
26,1.71,630.73,184.02,1059.7,5.758,1,10.755,0.049492
27,1.35,640.65,131.36,852.4,6.489,1,8.6241,0.039688
28,1.06,645.69,91.808,680.11,7.408,1,6.8622,0.031579
29,0.839,650.73,64.128,542.27,8.456,1,5.4601,0.025127
30,0.662,652.97,44.055,430.33,9.768,1,4.3257,0.019906
31,0.523,649.1,30.689,338.12,11.018,1,3.395,0.015624
32,0.413,651.21,21.097,268.08,12.707,1,2.6891,0.012375
33,0.326,649.89,14.397,211.38,14.683,1,2.1187,0.0097504
34,0.257,644.08,9.6758,165.5,17.104,1,1.6578,0.0076291
35,0.203,639.5,5.7,129.83,22.776,1,1.2995,0.0059803
36,0.16,634.61,3.8975,101.74,26.104,1,1.0181,0.0046854
37,0.127,627.47,2.2668,79.444,35.046,1,0.79478,0.0036575
38,0.1,618.59,1.8895,61.83,32.724,1,0.61859,0.0028467
