Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,143.14,64922,62172,0.958,1,899.2,4.1381
2,496,153.37,56403,50998,0.904,0.994,755.55,3.477
3,391,167.58,48853,43774,0.896,1,656.15,3.0196
4,309,185.84,42441,38694,0.912,1.01,578.26,2.6611
5,244,206.62,36546,34726,0.95,1.01,507.68,2.3363
6,193,229.96,31286,31358,1.002,1,444.07,2.0436
7,152,255.47,26636,28285,1.062,0.997,387.52,1.7834
8,120,282.57,22465,25424,1.132,0.998,338.44,1.5575
9,94.8,311.49,18823,22750,1.209,0.997,294.52,1.3553
10,74.8,342.3,15674,20263,1.293,0.998,255.72,1.1768
11,59.1,374.86,12971,17954,1.384,1,221.64,1.02
12,46.6,408.64,10654,15807,1.484,1,190.74,0.87777
13,36.8,443.17,8678.9,13823,1.593,1,163.26,0.75131
14,29.1,477.98,7005.3,12003,1.713,1,138.95,0.63945
15,23,512.87,5604.4,10354,1.847,1,117.68,0.54157
16,18.1,547.22,4440.7,8868,1.997,1,99.132,0.4562
17,14.3,580.67,3485.4,7542.2,2.164,1,83.06,0.38224
18,11.3,612.61,2708.4,6368.5,2.351,1,69.198,0.31845
19,8.92,643.09,2084.5,5343.3,2.563,1,57.359,0.26396
20,7.04,671.32,1587.7,4452.4,2.804,1,47.277,0.21757
21,5.56,697.61,1198.2,3688.4,3.078,1,38.786,0.17849
22,4.39,721.13,894.99,3035.8,3.392,1,31.651,0.14566
23,3.47,742.41,662.9,2485.6,3.75,1,25.722,0.11837
24,2.74,760.72,485.05,2023.8,4.172,1,20.809,0.09576
25,2.16,775.68,352.3,1637.9,4.649,1,16.752,0.077091
26,1.71,786.33,252.05,1316.9,5.225,1,13.408,0.061701
27,1.35,793.55,178.12,1053.4,5.914,1,10.683,0.049161
28,1.06,796.72,124.66,837.57,6.719,1,8.4676,0.038967
29,0.839,797.25,86.379,663.39,7.68,1,6.6898,0.030786
30,0.662,795.9,59.774,523.88,8.764,1,5.2727,0.024264
31,0.523,786.59,39.895,409.48,10.264,1,4.1142,0.018933
32,0.413,783.05,27.154,322.21,11.866,1,3.2335,0.01488
33,0.326,778.02,17.784,253.02,14.228,1,2.5365,0.011673
34,0.257,768.93,12.646,197.51,15.618,1,1.9792,0.009108
35,0.203,764.79,8.4052,155.18,18.463,1,1.5546,0.0071542
36,0.16,758.15,5.1503,121.52,23.595,1,1.2161,0.0055965
37,0.127,747.24,3.7867,94.572,24.975,1,0.94707,0.0043584
38,0.1,743.08,2.2785,74.273,32.598,1,0.74308,0.0034196
