Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,170.55,81985,68916,0.841,1,1071.4,4.9305
2,496,184.42,71313,57229,0.803,0.993,908.26,4.1798
3,391,204.23,62534,49803,0.796,1,799.7,3.6802
4,309,229.35,55076,44616,0.81,1.01,713.6,3.284
5,244,258.15,48177,40574,0.842,1.01,633.37,2.9147
6,193,290.65,41878,37160,0.887,1,562.06,2.5866
7,152,327.17,36368,33956,0.934,0.997,496.26,2.2837
8,120,366.39,31267,30946,0.99,0.997,438.79,2.0193
9,94.8,409.27,26747,28102,1.051,0.998,387.05,1.7812
10,74.8,456.04,22770,25423,1.117,1,341.6,1.572
11,59.1,506.27,19270,22880,1.187,1,299.51,1.3783
12,46.6,559.67,16200,20474,1.264,1,261.23,1.2021
13,36.8,615.75,13518,18208,1.347,1,226.78,1.0436
14,29.1,674.15,11192,16093,1.438,1,195.97,0.90185
15,23,734.34,9192.3,14131,1.537,1,168.5,0.77542
16,18.1,795.92,7488.6,12329,1.646,0.999,144.18,0.66349
17,14.3,858.29,6050.1,10687,1.766,1,122.77,0.56497
18,11.3,920.68,4845.7,9202.9,1.899,1,104,0.47859
19,8.92,982.51,3847.6,7872.8,2.046,1,87.634,0.40329
20,7.04,1043.3,3029,6693,2.21,1,73.481,0.33815
21,5.56,1102.4,2363.6,5654.1,2.392,1,61.293,0.28207
22,4.39,1159.2,1828.9,4747.4,2.596,1,50.878,0.23414
23,3.47,1213,1402.5,3962.2,2.825,1,42.025,0.1934
24,2.74,1262.8,1065.9,3286.2,3.083,1,34.543,0.15896
25,2.16,1307.6,802.05,2707.8,3.376,1,28.238,0.12995
26,1.71,1347.5,597.95,2218.6,3.71,1,22.976,0.10573
27,1.35,1381.8,441.89,1806.9,4.089,1,18.601,0.085601
28,1.06,1410.5,323.63,1463.8,4.523,1,14.991,0.068988
29,0.839,1433.2,234.92,1179.5,5.021,1,12.026,0.055341
30,0.662,1450.6,169.27,946,5.589,1,9.6096,0.044223
31,0.523,1458.9,120.46,753.51,6.255,1,7.6306,0.035116
32,0.413,1464.1,84.779,598.61,7.061,1,6.0457,0.027822
33,0.326,1463.1,59.486,473.26,7.956,1,4.7698,0.02195
34,0.257,1455.5,41.413,372.33,8.991,1,3.7463,0.01724
35,0.203,1448.8,28.927,292.98,10.129,1,2.9441,0.013549
36,0.16,1436.9,19.535,229.7,11.758,1,2.3053,0.010609
37,0.127,1418.7,13.275,179.21,13.499,1,1.797,0.0082697
38,0.1,1401.8,8.8798,139.89,15.754,1,1.4018,0.0064509
