Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,149.78,69304,63593,0.918,1,940.96,4.3303
2,496,157.99,58696,51871,0.884,0.993,778.2,3.5812
3,391,171.31,50265,44388,0.883,1,670.71,3.0866
4,309,189.35,43458,39189,0.902,1.01,589.17,2.7113
5,244,210.18,37335,35154,0.942,1.01,516.37,2.3763
6,193,233.77,31919,31765,0.995,1,451.43,2.0775
7,152,259.62,27150,28667,1.056,0.997,393.8,1.8123
8,120,287.23,22888,25797,1.127,0.998,344.02,1.5832
9,94.8,316.72,19170,23106,1.205,0.997,299.46,1.3781
10,74.8,348.1,15956,20593,1.291,0.998,260.09,1.1969
11,59.1,381.35,13200,18261,1.383,1,225.47,1.0376
12,46.6,415.82,10837,16088,1.484,1,194.09,0.8932
13,36.8,451.19,8823.1,14081,1.596,1,166.21,0.76489
14,29.1,486.95,7119.6,12239,1.719,1,141.56,0.65144
15,23,522.75,5692,10564,1.856,1,119.95,0.55199
16,18.1,558.23,4508.5,9057,2.009,1,101.13,0.46537
17,14.3,593.04,3537.6,7713.1,2.18,1,84.832,0.39039
18,11.3,626.41,2748.8,6520.6,2.372,1,70.757,0.32562
19,8.92,658.2,2113.7,5476.5,2.591,1,58.706,0.27016
20,7.04,688.04,1611.4,4568.9,2.835,1,48.455,0.22299
21,5.56,715.64,1214.8,3788.3,3.118,1,39.788,0.1831
22,4.39,740.45,907.17,3120.6,3.44,1,32.499,0.14956
23,3.47,762.97,671.54,2557.1,3.808,1,26.434,0.12165
24,2.74,781.72,491.04,2081.4,4.239,1,21.383,0.098403
25,2.16,797.51,355.29,1685.4,4.744,1,17.223,0.07926
26,1.71,809.02,254.41,1355.9,5.33,1,13.794,0.063481
27,1.35,817.38,180.76,1085.4,6.005,1,11.003,0.050637
28,1.06,822.86,127.07,865.3,6.81,1,8.7454,0.040246
29,0.839,824.33,88.372,686.05,7.763,1,6.917,0.031832
30,0.662,823.01,60.53,541.86,8.952,1,5.4523,0.025091
31,0.523,818.94,41.449,426.33,10.286,1,4.2834,0.019712
32,0.413,813.4,28.148,334.7,11.891,1,3.3588,0.015457
33,0.326,806.53,18.663,262.28,14.053,1,2.6294,0.0121
34,0.257,798.85,12.523,205.23,16.389,1,2.0562,0.0094624
35,0.203,789.11,8.0196,160.15,19.97,1,1.6036,0.0073795
36,0.16,775.84,5.6948,124.34,21.834,1,1.2447,0.0057282
37,0.127,764.68,3.5781,96.79,27.051,1,0.96855,0.0044572
38,0.1,750.52,2.358,75.015,31.814,1,0.75098,0.003456
