Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,164.45,79440,65989,0.831,1,1033.1,4.7542
2,496,183.29,71331,56303,0.789,0.994,902.99,4.1555
3,391,206.99,63809,49932,0.783,1,810.72,3.7309
4,309,235.2,56886,45247,0.795,1.01,731.84,3.3679
5,244,266.67,50152,41450,0.826,1.01,654.06,3.0099
6,193,301.95,43899,38157,0.869,1,584.34,2.6891
7,152,341.34,38329,35010,0.913,0.997,517.77,2.3827
8,120,383.1,33061,31980,0.967,0.997,458.81,2.1114
9,94.8,428.7,28362,29104,1.026,0.998,405.48,1.866
10,74.8,478.47,24209,26385,1.09,1,358.43,1.6495
11,59.1,532.16,20543,23804,1.159,1,314.92,1.4492
12,46.6,589.09,17310,21343,1.233,1,274.93,1.2652
13,36.8,648.9,14472,19018,1.314,1,238.98,1.0998
14,29.1,711.33,12007,16841,1.403,1,206.78,0.95157
15,23,775.84,9882.8,14816,1.499,1,178.02,0.81922
16,18.1,841.84,8066.6,12950,1.605,1,152.5,0.70178
17,14.3,908.82,6531,11245,1.722,1,130,0.59823
18,11.3,976.57,5246.6,9704.6,1.85,1,110.31,0.50765
19,8.92,1043.7,4176.8,8318.6,1.992,1,93.094,0.42841
20,7.04,1110,3298.7,7085.9,2.148,1,78.177,0.35976
21,5.56,1174.8,2583,5998.1,2.322,1,65.317,0.30059
22,4.39,1236.8,2003,5045,2.519,1,54.284,0.24981
23,3.47,1296.5,1542.4,4219.4,2.736,1,44.918,0.20671
24,2.74,1353,1177.9,3508.8,2.979,1,37.008,0.17031
25,2.16,1405.2,893.29,2900.5,3.247,1,30.345,0.13965
26,1.71,1452,670.15,2383.5,3.557,1,24.756,0.11392
27,1.35,1494.4,499.79,1948.8,3.899,1,20.116,0.092573
28,1.06,1531.7,369.24,1585.6,4.294,1,16.278,0.074912
29,0.839,1562.1,269.42,1282.8,4.761,1,13.107,0.060318
30,0.662,1585.5,196.54,1031.8,5.25,1,10.503,0.048334
31,0.523,1602.8,141.31,826.31,5.847,1,8.3831,0.038579
32,0.413,1610.6,101.02,657.35,6.507,1,6.6507,0.030606
33,0.326,1620.2,72.253,523.25,7.242,1,5.2822,0.024308
34,0.257,1626.6,51.163,415.53,8.122,1,4.1867,0.019267
35,0.203,1626.1,35.274,328.55,9.314,1,3.3044,0.015206
36,0.16,1619.9,25.143,258.67,10.288,1,2.5989,0.01196
37,0.127,1616.9,16.924,204.1,12.059,1,2.048,0.0094246
38,0.1,1601.9,11.902,159.75,13.422,1,1.6019,0.0073721
