Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,126.61,57698,54710,0.948,1,795.33,3.6601
2,496,139.26,50688,46881,0.925,0.994,686.22,3.158
3,391,154.72,44272,41330,0.934,1,605.88,2.7882
4,309,173.14,38650,37003,0.957,1.01,538.77,2.4794
5,244,193.53,33363,33414,1.002,1.01,475.68,2.189
6,193,215.68,28535,30198,1.058,1,416.48,1.9166
7,152,240.2,24301,27274,1.122,0.997,364.36,1.6768
8,120,265.25,20426,24434,1.196,0.998,317.7,1.4621
9,94.8,291.8,17042,21788,1.278,0.997,275.9,1.2697
10,74.8,319.78,14116,19326,1.369,0.998,238.82,1.099
11,59.1,349.07,11608,17048,1.469,1,206.38,0.94974
12,46.6,379.22,9470.3,14942,1.578,1,176.97,0.81442
13,36.8,409.86,7658,13008,1.699,1,151,0.69487
14,29.1,440.4,6132.7,11241,1.833,1,128.03,0.58919
15,23,470.52,4862.3,9644.9,1.984,1,107.97,0.49685
16,18.1,500.08,3819.1,8219.4,2.152,1,90.593,0.4169
17,14.3,528.68,2970,6957.2,2.342,1,75.624,0.34802
18,11.3,555.34,2284,5843,2.558,1,62.73,0.28868
19,8.92,580.53,1738.7,4876.9,2.805,1,51.779,0.23829
20,7.04,603.94,1310.6,4045.6,3.087,1,42.533,0.19573
21,5.56,624.42,977.16,3330.9,3.409,1,34.717,0.15977
22,4.39,642.79,720.31,2727.7,3.787,1,28.213,0.12984
23,3.47,659.27,526.75,2222.9,4.22,1,22.842,0.10512
24,2.74,672.6,381.14,1800.1,4.723,1,18.399,0.084669
25,2.16,682.24,271.78,1448.2,5.329,1,14.734,0.067806
26,1.71,688.46,191.79,1158.2,6.039,1,11.739,0.05402
27,1.35,693.5,134.18,923.93,6.886,1,9.3353,0.042961
28,1.06,694.61,92.166,732.5,7.948,1,7.3822,0.033972
29,0.839,692.55,63.013,577.71,9.168,1,5.811,0.026742
30,0.662,686.56,42.473,452.85,10.662,1,4.5483,0.020931
31,0.523,679.11,28.104,354.09,12.599,1,3.5519,0.016346
32,0.413,672.08,18.548,276.91,14.929,1,2.7753,0.012772
33,0.326,661.61,11.909,215.37,18.085,1,2.157,0.0099262
34,0.257,653.73,8.1454,168.07,20.633,1,1.6827,0.0077435
35,0.203,643.87,5.3689,130.73,24.349,1,1.3084,0.0060213
36,0.16,635.63,3.0467,101.93,33.456,1,1.0198,0.0046929
37,0.127,623.71,2.247,78.968,35.144,1,0.79001,0.0036356
38,0.1,612.9,1.2979,61.276,47.21,1,0.61291,0.0028206
