Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,140.5,64619,60081,0.93,1,882.58,4.0616
2,496,153.37,56771,50589,0.891,0.994,755.54,3.477
3,391,169.78,49653,44176,0.89,1,664.79,3.0593
4,309,189.84,43417,39459,0.909,1.01,590.71,2.7184
5,244,212.27,37587,35632,0.948,1.01,521.48,2.3998
6,193,237.26,32323,32310,1,1,458.09,2.1081
7,152,264.84,27686,29253,1.057,0.997,401.72,1.8487
8,120,293.74,23439,26353,1.124,0.998,351.81,1.619
9,94.8,324.63,19708,23634,1.199,0.997,306.94,1.4125
10,74.8,357.6,16467,21097,1.281,0.999,267.25,1.2299
11,59.1,392.37,13666,18727,1.37,1,231.99,1.0676
12,46.6,428.4,11252,16515,1.468,1,200.01,0.92043
13,36.8,465.24,9184.8,14465,1.575,1,171.38,0.7887
14,29.1,502.62,7431.8,12584,1.693,1,146.11,0.6724
15,23,539.96,5957,10870,1.825,1,123.9,0.57016
16,18.1,577.09,4731.9,9327.4,1.971,1,104.54,0.48109
17,14.3,613.44,3723.1,7948.8,2.135,1,87.747,0.40381
18,11.3,648.35,2900.8,6725.3,2.318,1,73.236,0.33703
19,8.92,681.62,2237.7,5652.4,2.526,1,60.797,0.27978
20,7.04,712.58,1709,4717.5,2.76,1,50.183,0.23094
21,5.56,741.53,1293.2,3914.2,3.027,1,41.228,0.18973
22,4.39,767.01,968.03,3224.2,3.331,1,33.665,0.15493
23,3.47,789.77,717.34,2640.9,3.682,1,27.363,0.12592
24,2.74,809.27,526.34,2150.4,4.086,1,22.137,0.10187
25,2.16,825.19,381.94,1740.9,4.558,1,17.821,0.082012
26,1.71,837.59,273.81,1401.7,5.119,1,14.282,0.065723
27,1.35,845.11,194.63,1120.9,5.759,1,11.376,0.052353
28,1.06,848.86,136.6,891.82,6.529,1,9.0215,0.041517
29,0.839,850.53,95.104,707.34,7.438,1,7.1366,0.032842
30,0.662,847.71,65.372,557.78,8.532,1,5.6158,0.025844
31,0.523,841.25,44.081,437.79,9.931,1,4.4,0.020249
32,0.413,831.68,29.287,342.18,11.684,1,3.4343,0.015804
33,0.326,820.04,19.457,266.64,13.704,1,2.6735,0.012303
34,0.257,811.96,13.68,208.54,15.244,1,2.0899,0.0096176
35,0.203,802.04,9.3212,162.72,17.457,1,1.6298,0.0075004
36,0.16,791.87,6.0233,126.9,21.068,1,1.2704,0.0058464
37,0.127,787.17,4.2102,99.616,23.66,1,0.99705,0.0045884
38,0.1,770.63,2.4854,77.023,30.991,1,0.77063,0.0035464
