Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,153.73,73238,62897,0.859,1,965.77,4.4444
2,496,169.25,64565,53603,0.83,0.994,833.85,3.8373
3,391,189.42,57092,47308,0.829,1,741.76,3.4135
4,309,213.94,50516,42658,0.844,1.01,665.68,3.0634
5,244,241.41,44258,38865,0.878,1.01,592.55,2.7269
6,193,271.93,38453,35570,0.925,1,525.33,2.4175
7,152,305.75,33318,32436,0.974,0.997,463.78,2.1343
8,120,341.23,28504,29430,1.032,0.997,408.67,1.8807
9,94.8,379.65,24245,26596,1.097,0.998,359,1.6521
10,74.8,421.3,20518,23940,1.167,1,315.56,1.4522
11,59.1,465.68,17255,21433,1.242,1,275.43,1.2675
12,46.6,512.66,14413,19083,1.324,1,239.34,1.1014
13,36.8,561.76,11950,16888,1.413,1,206.9,0.95215
14,29.1,612.35,9823.9,14849,1.512,1,178.01,0.81918
15,23,664.01,8007.3,12970,1.62,1,152.36,0.70115
16,18.1,716.47,6472.7,11257,1.739,1,129.79,0.59727
17,14.3,769.08,5186,9705.9,1.872,1,110.01,0.50625
18,11.3,821.09,4117,8311.8,2.019,1,92.747,0.42682
19,8.92,872.27,3240.1,7072.7,2.183,1,77.801,0.35804
20,7.04,921.5,2525.3,5977,2.367,1,64.898,0.29866
21,5.56,968.64,1950.6,5019.1,2.573,1,53.856,0.24784
22,4.39,1013,1491.2,4188.4,2.809,1,44.462,0.20461
23,3.47,1054.7,1130.9,3475.2,3.073,1,36.54,0.16816
24,2.74,1091.9,849.14,2863.9,3.373,1,29.868,0.13745
25,2.16,1124.6,630.73,2345.6,3.719,1,24.287,0.11177
26,1.71,1152.7,465.04,1909.8,4.107,1,19.655,0.090451
27,1.35,1175.5,338.16,1546,4.572,1,15.824,0.072822
28,1.06,1195.2,244.06,1246.7,5.108,1,12.703,0.058457
29,0.839,1209.1,174.75,999.4,5.719,1,10.145,0.046686
30,0.662,1216.7,123.97,796.46,6.424,1,8.0601,0.037092
31,0.523,1222.1,87.878,633.14,7.205,1,6.396,0.029434
32,0.413,1224.4,61.614,501.83,8.145,1,5.056,0.023267
33,0.326,1222.7,42.488,396.36,9.329,1,3.9863,0.018345
34,0.257,1219.7,28.525,312.65,10.96,1,3.1395,0.014448
35,0.203,1212.1,19.586,245.54,12.536,1,2.4632,0.011335
36,0.16,1200.6,13.874,192.11,13.847,1,1.9261,0.0088638
37,0.127,1187.4,9.1425,150.13,16.421,1,1.5041,0.0069216
38,0.1,1176.7,6.2377,117.5,18.837,1,1.1767,0.005415
