Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,131.11,60596,55747,0.92,1,823.68,3.7905
2,496,143.85,52988,47742,0.901,0.994,708.91,3.2624
3,391,159.79,46217,42149,0.912,1,625.76,2.8797
4,309,179.03,40374,37829,0.937,1.01,557.1,2.5637
5,244,200.38,34903,34235,0.981,1.01,492.42,2.2661
6,193,223.9,29952,31033,1.036,1,432.36,1.9897
7,152,249.89,25595,28092,1.098,0.997,379.05,1.7444
8,120,276.86,21620,25250,1.168,0.998,331.6,1.526
9,94.8,305.71,18139,22600,1.246,0.997,289.05,1.3302
10,74.8,336.39,15118,20131,1.332,0.998,251.29,1.1564
11,59.1,368.64,12509,17832,1.426,1,217.95,1.003
12,46.6,402.21,10274,15700,1.528,1,187.72,0.86388
13,36.8,436.59,8367,13731,1.641,1,160.84,0.74016
14,29.1,471.53,6755.3,11931,1.766,1,137.07,0.63081
15,23,506.61,5405.9,10297,1.905,1,116.24,0.53495
16,18.1,541.22,4284,8823.8,2.06,1,98.043,0.45119
17,14.3,575.53,3366.2,7515.6,2.233,1,82.324,0.37885
18,11.3,608.77,2619.2,6358.8,2.428,1,68.765,0.31645
19,8.92,641.05,2021.3,5348.2,2.646,1,57.177,0.26312
20,7.04,671.64,1544.9,4469.8,2.893,1,47.299,0.21767
21,5.56,700.52,1169.3,3714.6,3.177,1,38.948,0.17924
22,4.39,727.14,877.38,3068.4,3.497,1,31.915,0.14687
23,3.47,751.89,652.22,2522.4,3.867,1,26.05,0.11988
24,2.74,774.64,480.58,2064,4.295,1,21.189,0.097513
25,2.16,794.49,350.45,1679.8,4.793,1,17.158,0.078961
26,1.71,811.31,252.9,1360.1,5.378,1,13.834,0.063662
27,1.35,825.89,181.69,1096.9,6.037,1,11.118,0.051164
28,1.06,838.55,129.15,881.85,6.828,1,8.912,0.041012
29,0.839,848.89,90.877,706.51,7.774,1,7.1228,0.032779
30,0.662,853.58,63.328,561.93,8.873,1,5.6546,0.026022
31,0.523,856.69,43.83,445.93,10.174,1,4.4807,0.02062
32,0.413,857.18,29.655,352.72,11.894,1,3.5396,0.016289
33,0.326,854.21,20.431,277.73,13.594,1,2.7849,0.012816
34,0.257,853.47,13.217,219.28,16.591,1,2.1967,0.010109
35,0.203,846.1,8.906,171.7,19.28,1,1.7194,0.0079124
36,0.16,839.48,5.7923,134.56,23.23,1,1.3468,0.006198
37,0.127,823.54,3.5699,104.25,29.203,1,1.0431,0.0048004
38,0.1,814.54,2.7757,81.407,29.329,1,0.81454,0.0037485
