Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,139.5,63549,60300,0.949,1,876.42,4.0332
2,496,151.13,55585,50247,0.904,0.994,744.8,3.4275
3,391,166.76,48587,43594,0.897,1,653.01,3.0051
4,309,186.36,42579,38783,0.911,1.01,579.92,2.6687
5,244,208.5,36950,34968,0.946,1.01,512.29,2.3575
6,193,233.19,31834,31690,0.995,1,450.31,2.0723
7,152,260.17,27268,28671,1.051,0.997,394.65,1.8162
8,120,288.78,23121,25839,1.118,0.998,345.88,1.5917
9,94.8,319.37,19470,23183,1.191,0.997,301.98,1.3897
10,74.8,352,16293,20701,1.271,0.998,263.02,1.2104
11,59.1,386.48,13543,18387,1.358,1,228.51,1.0516
12,46.6,422.42,11172,16232,1.453,1,197.18,0.90741
13,36.8,459.34,9139.7,14235,1.558,1,169.21,0.77869
14,29.1,496.76,7411,12398,1.673,1,144.41,0.66459
15,23,534.29,5953.8,10723,1.801,1,122.6,0.56419
16,18.1,571.66,4740.9,9212.2,1.943,1,103.56,0.47656
17,14.3,608.37,3739,7861,2.102,1,87.022,0.40047
18,11.3,643.89,2920.5,6661.8,2.281,1,72.732,0.33471
19,8.92,678.02,2260.1,5608.8,2.482,1,60.474,0.2783
20,7.04,710.21,1732,4691.3,2.709,1,50.016,0.23017
21,5.56,740.27,1315,3899.5,2.965,1,41.159,0.18941
22,4.39,767.86,988.45,3221.9,3.26,1,33.702,0.1551
23,3.47,793.15,735.79,2648,3.599,1,27.48,0.12646
24,2.74,814.76,542.82,2161.8,3.983,1,22.287,0.10256
25,2.16,832.75,395.53,1754.6,4.436,1,17.985,0.082764
26,1.71,847.59,285.81,1416.7,4.957,1,14.452,0.066508
27,1.35,858.84,203.87,1138.1,5.582,1,11.562,0.053206
28,1.06,866.4,143.97,909.54,6.318,1,9.2081,0.042375
29,0.839,871.33,100.95,724.15,7.173,1,7.311,0.033645
30,0.662,871.57,69.797,573.17,8.212,1,5.7738,0.02657
31,0.523,869.55,48.533,452.21,9.318,1,4.548,0.02093
32,0.413,868.1,33.15,356.94,10.767,1,3.5847,0.016497
33,0.326,863.41,22.7,280.57,12.36,1,2.8148,0.012954
34,0.257,857.54,14.861,220.22,14.819,1,2.2072,0.010157
35,0.203,852.09,10.219,172.85,16.915,1,1.7315,0.0079685
36,0.16,847.98,7.0682,135.86,19.221,1,1.3605,0.0062607
37,0.127,842.3,4.261,106.6,25.018,1,1.0669,0.0049097
38,0.1,836.44,3.116,83.586,26.825,1,0.83645,0.0038493
