Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,244.3,1.32E+05,78760,0.598,1,1535.2,7.0651
2,496,277.29,1.19E+05,68916,0.579,0.992,1364,6.277
3,391,319.09,1.08E+05,62780,0.581,1,1249.4,5.7499
4,309,369.76,98102,58600,0.597,1.01,1150.1,5.2926
5,244,428.63,88742,55337,0.624,1,1047.9,4.8225
6,193,496.65,80023,52432,0.655,0.997,954.19,4.3911
7,152,573.45,71722,49616,0.692,0.997,869.77,4.0026
8,120,660.33,63994,46805,0.731,0.998,791.24,3.6412
9,94.8,758.02,56830,43972,0.774,1,719.52,3.3112
10,74.8,867.2,50218,41113,0.819,1,649.48,2.9889
11,59.1,987.98,44116,38230,0.867,0.999,583.32,2.6844
12,46.6,1120.6,38513,35348,0.918,0.999,522.35,2.4038
13,36.8,1265.4,33405,32495,0.973,1,465.85,2.1438
14,29.1,1422.2,28779,29694,1.032,1,413.46,1.9027
15,23,1590.8,24622,26969,1.095,1,365.08,1.6801
16,18.1,1771.1,20919,24347,1.164,1,320.85,1.4765
17,14.3,1962.1,17643,21838,1.238,1,280.64,1.2915
18,11.3,2162.5,14766,19461,1.318,1,244.27,1.1241
19,8.92,2371,12264,17227,1.405,1,211.5,0.97331
20,7.04,2586.6,10107,15152,1.499,1,182.19,0.83845
21,5.56,2807,8262,13238,1.602,1,156.09,0.71833
22,4.39,3029.3,6698.3,11485,1.715,1,132.97,0.61191
23,3.47,3252.9,5386.9,9900.9,1.838,1,112.69,0.51861
24,2.74,3474.3,4295.2,8478.8,1.974,1,95.029,0.43732
25,2.16,3686.6,3390.4,7204.4,2.125,1,79.612,0.36637
26,1.71,3886.2,2648.6,6074.4,2.293,1,66.26,0.30493
27,1.35,4070.9,2048.6,5083.2,2.481,1,54.8,0.25219
28,1.06,4234,1567,4218.5,2.692,1,44.999,0.20708
29,0.839,4376.7,1185.2,3476.1,2.933,1,36.725,0.169
30,0.662,4491.2,887.06,2840.1,3.202,1,29.753,0.13692
31,0.523,4575.5,655.69,2301.6,3.51,1,23.932,0.11013
32,0.413,4641.7,482.1,1855.1,3.848,1,19.168,0.088208
33,0.326,4697.1,351.44,1490.4,4.241,1,15.313,0.07047
34,0.257,4743.2,254.08,1194.1,4.7,1,12.208,0.056183
35,0.203,4777.6,183.56,953.33,5.193,1,9.7086,0.044678
36,0.16,4789.7,131,757.18,5.78,1,7.6842,0.035362
37,0.127,4804.2,93.504,601.29,6.431,1,6.085,0.028003
38,0.1,4800.1,66.115,475.43,7.191,1,4.8001,0.02209
