Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,135.7,60418,60097,0.995,1,852.39,3.9227
2,496,144.54,51851,49472,0.954,0.994,712.2,3.2775
3,391,157.28,44672,42363,0.948,1,615.83,2.834
4,309,174.06,38741,37318,0.963,1.01,541.6,2.4924
5,244,193.05,33264,33348,1.003,1.01,474.52,2.1837
6,193,214.19,28355,29973,1.057,1,413.59,1.9033
7,152,237.24,24014,26927,1.121,0.997,359.87,1.6561
8,120,261.59,20148,24095,1.196,0.998,313.33,1.4419
9,94.8,287.57,16792,21474,1.279,0.997,271.9,1.2513
10,74.8,315.07,13898,19048,1.371,0.998,235.3,1.0828
11,59.1,343.93,11422,16808,1.472,1,203.34,0.93575
12,46.6,373.59,9310.5,14732,1.582,1,174.35,0.80234
13,36.8,403.76,7522.1,12827,1.705,1,148.75,0.68454
14,29.1,433.94,6020.9,11088,1.842,1,126.16,0.58056
15,23,463.82,4771.1,9518.7,1.995,1,106.43,0.48979
16,18.1,492.92,3742.6,8111.7,2.167,1,89.295,0.41093
17,14.3,520.91,2906,6863.7,2.362,1,74.513,0.34291
18,11.3,547.44,2233.6,5766.7,2.582,1,61.837,0.28457
19,8.92,572.14,1698.6,4811.7,2.833,1,51.029,0.23483
20,7.04,594.73,1278.6,3987.8,3.119,1,41.883,0.19274
21,5.56,615.34,953.1,3285.3,3.447,1,34.212,0.15744
22,4.39,633.3,702.73,2689.2,3.827,1,27.796,0.12792
23,3.47,649.05,512.92,2189.7,4.269,1,22.488,0.10349
24,2.74,661.25,370.49,1770.6,4.779,1,18.088,0.083239
25,2.16,670.61,263.93,1424.2,5.396,1,14.483,0.06665
26,1.71,676.19,185.87,1137.9,6.122,1,11.53,0.053059
27,1.35,678.81,129.99,904.55,6.959,1,9.1382,0.042054
28,1.06,678.76,88.964,715.92,8.047,1,7.2139,0.033198
29,0.839,675.37,60.462,563.49,9.32,1,5.6668,0.026078
30,0.662,670.32,41.018,442.18,10.78,1,4.4405,0.020435
31,0.523,663.11,26.746,345.8,12.929,1,3.4682,0.015961
32,0.413,653.66,18.215,269.31,14.785,1,2.6992,0.012422
33,0.326,643.17,12.263,209.32,17.069,1,2.0968,0.0096494
34,0.257,636.15,7.6061,163.56,21.504,1,1.6374,0.0075351
35,0.203,624.11,4.4215,126.75,28.666,1,1.2682,0.0058364
36,0.16,616.11,3.652,98.778,27.047,1,0.98875,0.0045502
37,0.127,604.83,2.1471,76.579,35.667,1,0.76603,0.0035252
38,0.1,593.38,1.5578,59.317,38.078,1,0.59333,0.0027305
