Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,157.05,74145,65039,0.877,1,986.6,4.5403
2,496,173.04,65909,54922,0.833,0.994,852.41,3.9227
3,391,194.01,58599,48306,0.824,1,759.76,3.4964
4,309,219.77,52129,43537,0.835,1.01,683.83,3.147
5,244,248.83,45895,39743,0.866,1.01,610.65,2.8102
6,193,281.13,40030,36472,0.911,1,543.36,2.5005
7,152,317.57,34889,33395,0.957,0.997,481.68,2.2167
8,120,356.5,30061,30472,1.014,0.997,426.95,1.9648
9,94.8,398.9,25743,27697,1.076,0.998,377.22,1.7359
10,74.8,444.69,21902,25057,1.144,1,333.09,1.5329
11,59.1,493.49,18506,22533,1.218,1,291.93,1.3434
12,46.6,545.03,15518,20140,1.298,1,254.41,1.1708
13,36.8,598.78,12906,17881,1.385,1,220.53,1.0149
14,29.1,654.63,10649,15776,1.481,1,190.29,0.87572
15,23,711.92,8714.1,13826,1.587,1,163.35,0.75173
16,18.1,770.62,7073.1,12043,1.703,0.999,139.59,0.6424
17,14.3,829.67,5691.7,10418,1.83,1,118.68,0.54614
18,11.3,888.61,4539.5,8953.2,1.972,1,100.37,0.46192
19,8.92,947.12,3590.6,7646,2.129,1,84.478,0.38876
20,7.04,1004.6,2815.2,6489.2,2.305,1,70.75,0.32559
21,5.56,1060.2,2188.9,5472.5,2.5,1,58.95,0.27128
22,4.39,1113.2,1686.1,4585.4,2.719,1,48.859,0.22485
23,3.47,1164.7,1289,3824.2,2.967,1,40.351,0.18569
24,2.74,1211.8,975.36,3168.5,3.249,1,33.148,0.15255
25,2.16,1254.6,733.17,2608.8,3.558,1,27.095,0.12469
26,1.71,1293.5,545.21,2137.3,3.92,1,22.055,0.10149
27,1.35,1329.7,402.48,1744.3,4.334,1,17.899,0.082372
28,1.06,1360.5,294.37,1415.7,4.809,1,14.459,0.066539
29,0.839,1386.6,214.36,1143.6,5.335,1,11.635,0.053543
30,0.662,1407.6,155.17,919.53,5.926,1,9.325,0.042913
31,0.523,1422,110.26,735.55,6.671,1,7.4377,0.034228
32,0.413,1433.9,78.517,586.87,7.474,1,5.921,0.027248
33,0.326,1441,55.446,466.5,8.414,1,4.6978,0.021619
34,0.257,1450.8,38.801,371.41,9.572,1,3.7343,0.017185
35,0.203,1454.5,26.29,294.4,11.198,1,2.9557,0.013602
36,0.16,1454.8,18.725,232.64,12.424,1,2.334,0.010741
37,0.127,1447.7,13.28,182.89,13.772,1,1.8337,0.0084385
38,0.1,1440.2,9.2109,143.72,15.603,1,1.4402,0.0066276
