Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,170.26,83001,67407,0.812,1,1069.7,4.9225
2,496,187.51,73436,57012,0.776,0.993,923.31,4.249
3,391,210.31,65179,50290,0.772,1,823.47,3.7896
4,309,238.28,57916,45477,0.785,1.01,741.42,3.412
5,244,270.15,51068,41673,0.816,1.01,662.62,3.0493
6,193,305.86,44696,38387,0.859,1,592,2.7244
7,152,346.27,39088,35289,0.903,0.997,525.22,2.4171
8,120,389.62,33810,32332,0.956,0.997,466.61,2.1473
9,94.8,436.97,29078,29500,1.014,0.998,413.31,1.902
10,74.8,488.49,24871,26795,1.077,1,365.96,1.6841
11,59.1,544.09,21152,24209,1.145,1,322.02,1.4819
12,46.6,602.89,17847,21735,1.218,1,281.35,1.2948
13,36.8,664.7,14945,19388,1.297,1,244.8,1.1266
14,29.1,729.13,12416,17185,1.384,1,211.95,0.97538
15,23,795.6,10229,15130,1.479,1,182.55,0.84008
16,18.1,863.43,8356.8,13230,1.583,0.999,156.41,0.71977
17,14.3,931.98,6768.8,11490,1.697,1,133.31,0.61348
18,11.3,1000.6,5434.7,9911,1.824,1,113.02,0.52013
19,8.92,1069,4327.7,8495,1.963,1,95.348,0.43879
20,7.04,1136.2,3416.7,7234.2,2.117,1,80.024,0.36826
21,5.56,1202,2676.3,6123,2.288,1,66.837,0.30758
22,4.39,1266.3,2079.7,5153.8,2.478,1,55.58,0.25578
23,3.47,1327.9,1601.4,4313.6,2.694,1,46.007,0.21172
24,2.74,1385.9,1223.5,3588.5,2.933,1,37.908,0.17445
25,2.16,1439.7,927.13,2968,3.201,1,31.09,0.14308
26,1.71,1487.3,694.59,2439.2,3.512,1,25.358,0.1167
27,1.35,1529.4,516.56,1993,3.858,1,20.587,0.094738
28,1.06,1564.4,379.98,1618.8,4.26,1,16.626,0.076512
29,0.839,1593.2,277.77,1307.7,4.708,1,13.368,0.061519
30,0.662,1616,201.46,1051.5,5.219,1,10.706,0.049266
31,0.523,1629.2,144.03,839.87,5.831,1,8.5212,0.039214
32,0.413,1638.6,102.41,668.85,6.531,1,6.7665,0.031139
33,0.326,1644.3,72.126,531.2,7.365,1,5.3607,0.02467
34,0.257,1643.7,51.043,419.97,8.228,1,4.2306,0.019469
35,0.203,1639.6,35.744,331.26,9.268,1,3.3321,0.015334
36,0.16,1633.5,24.328,260.94,10.726,1,2.6212,0.012063
37,0.127,1622.8,17.304,204.82,11.837,1,2.0554,0.0094587
38,0.1,1606.8,11.803,160.25,13.577,1,1.6067,0.007394
