Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,193.64,96956,73401,0.757,1,1216.4,5.5976
2,496,210.31,82206,64148,0.78,0.993,1035.7,4.7661
3,391,232.57,70775,57257,0.809,1,910.8,4.1915
4,309,260.08,61375,51897,0.846,1.01,809.16,3.7237
5,244,291.32,53007,47353,0.893,1,714.2,3.2867
6,193,326.12,45541,43270,0.95,1,630.63,2.9021
7,152,364.98,39108,39391,1.007,0.997,553.63,2.5478
8,120,406.1,33226,35686,1.074,0.997,486.35,2.2382
9,94.8,450.5,28073,32181,1.146,0.999,426.4,1.9623
10,74.8,498.15,23581,28876,1.225,1,373.23,1.7176
11,59.1,548.76,19681,25767,1.309,1,324.76,1.4945
12,46.6,601.52,16301,22839,1.401,1,280.71,1.2918
13,36.8,655.82,13382,20107,1.503,1,241.53,1.1115
14,29.1,711.33,10891,17584,1.615,1,206.77,0.95154
15,23,767.34,8782.6,15269,1.739,0.999,176.05,0.81017
16,18.1,823.27,7016.6,13168,1.877,0.999,149.12,0.68622
17,14.3,878.59,5553.1,11278,2.031,1,125.66,0.57829
18,11.3,932.39,4350.9,9592.3,2.205,1,105.32,0.48466
19,8.92,984.28,3378,8102.6,2.399,1,87.794,0.40402
20,7.04,1033.7,2597.9,6799.4,2.617,1,72.804,0.33504
21,5.56,1080.1,1978.3,5669,2.866,1,60.054,0.27636
22,4.39,1122.1,1489.8,4694.2,3.151,1,49.251,0.22665
23,3.47,1161.4,1113.8,3867,3.472,1,40.237,0.18517
24,2.74,1196.4,826.89,3166.9,3.83,1,32.727,0.15061
25,2.16,1224.6,602.32,2575.4,4.276,1,26.446,0.1217
26,1.71,1248.1,434.6,2083.5,4.794,1,21.281,0.097933
27,1.35,1269.7,311.87,1680.7,5.389,1,17.092,0.078655
28,1.06,1279.2,221.83,1341.4,6.047,1,13.595,0.062563
29,0.839,1290,157.42,1071,6.803,1,10.824,0.049812
30,0.662,1291.6,108.43,848.74,7.827,1,8.5561,0.039375
31,0.523,1292.5,74.162,671.97,9.061,1,6.7604,0.031111
32,0.413,1291.4,50.664,530.86,10.478,1,5.3327,0.024541
33,0.326,1291.2,33.642,419.59,12.472,1,4.2094,0.019371
34,0.257,1277,23.089,327.87,14.2,1,3.2868,0.015126
35,0.203,1265.3,15.274,256.66,16.804,1,2.5711,0.011832
36,0.16,1253.3,10.553,200.79,19.027,1,2.0107,0.0092529
37,0.127,1245.5,6.7407,157.61,23.382,1,1.5775,0.0072597
38,0.1,1223,4.2198,122.23,28.965,1,1.223,0.0056282
