Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,131.87,59881,57205,0.955,1,828.46,3.8125
2,496,143.04,52139,48072,0.922,0.994,704.86,3.2437
3,391,157.68,45335,41887,0.924,1,617.42,2.8413
4,309,175.7,39473,37285,0.945,1.01,546.72,2.516
5,244,196,34044,33584,0.986,1.01,481.73,2.2169
6,193,218.32,29132,30331,1.041,1,421.58,1.9401
7,152,242.82,24798,27363,1.103,0.997,368.34,1.6951
8,120,268.41,20881,24548,1.176,0.998,321.49,1.4795
9,94.8,295.72,17465,21927,1.256,0.997,279.62,1.2868
10,74.8,324.48,14502,19479,1.343,0.998,242.35,1.1153
11,59.1,354.64,11958,17207,1.439,1,209.67,0.96491
12,46.6,385.88,9786.6,15108,1.544,1,180.1,0.82881
13,36.8,417.86,7943.9,13181,1.659,1,153.94,0.70842
14,29.1,450.18,6392.3,11423,1.787,1,130.87,0.60227
15,23,482.42,5096.6,9831.8,1.929,1,110.7,0.50941
16,18.1,514.09,4025,8403,2.088,1,93.129,0.42857
17,14.3,544.8,3147.3,7131.7,2.266,1,77.93,0.35863
18,11.3,574.49,2438.9,6014.2,2.466,1,64.893,0.29863
19,8.92,602.6,1870.2,5038.5,2.694,1,53.747,0.24734
20,7.04,628.7,1420.3,4192.9,2.952,1,44.276,0.20376
21,5.56,652.83,1068.8,3468.2,3.245,1,36.296,0.16703
22,4.39,674.67,795.95,2852.1,3.583,1,29.612,0.13627
23,3.47,694.69,588.27,2334.2,3.968,1,24.069,0.11077
24,2.74,712.09,429.26,1900.2,4.427,1,19.479,0.08964
25,2.16,725.39,309.68,1535.8,4.959,1,15.666,0.072094
26,1.71,737.15,222.49,1237.1,5.56,1,12.569,0.057841
27,1.35,744.93,157.99,990.33,6.268,1,10.028,0.046147
28,1.06,751.54,110.82,791.05,7.138,1,7.9872,0.036756
29,0.839,754.53,76.52,628.5,8.214,1,6.3311,0.029136
30,0.662,753.51,52.66,496.41,9.427,1,4.9918,0.022972
31,0.523,752.39,35.504,391.92,11.039,1,3.9353,0.01811
32,0.413,749.34,24.843,308.43,12.415,1,3.0943,0.01424
33,0.326,741.66,16.958,241.2,14.223,1,2.4179,0.011127
34,0.257,738.42,10.999,189.74,17.251,1,1.9006,0.0087466
35,0.203,728.95,7.1491,147.96,20.696,1,1.4813,0.0068169
36,0.16,723.22,4.1912,115.95,27.666,1,1.1603,0.0053396
37,0.127,716.51,3.0102,90.705,30.133,1,0.90756,0.0041765
38,0.1,706.79,1.752,70.657,40.329,1,0.70679,0.0032526
